,role
BERISHA,P
TOLOI,D
PALOMINO,D
MASIELLO A,D
HATEBOER,D
CRISTANTE,C
DE ROON,C
FREULER,C
GOSENS,D
KURTIC,C
ILICIC,C
PETAGNA,A
CORNELIUS,A
GOMEZ A,A
GASPERINI,ALL
MIRANTE,P
TOROSIDIS,D
DE MAIO,D
MAIETTA,D
MASINA,D
PULGAR,C
TAIDER,C
KREJCI,C
POLI,C
DONSAH,C
VERDI,C
PALACIO,A
DESTRO,A
DI FRANCESCO F,C
DONADONI,ALL
SORRENTINO,P
CACCIATORE,D
DAINELLI,D
GAMBERINI,D
GOBBI,D
CASTRO,C
RADOVANOVIC,C
HETEMAJ,C
BIRSA,C
RIGONI N,C
INGLESE,A
PELLISSIER,A
PUCCIARELLI,A
GARRITANO,C
MARAN,ALL
SPORTIELLO,P
TOMOVIC,D
VITOR HUGO,D
ASTORI,D
OLIVERA M,D
VERETOUT,C
SANCHEZ,C
ZEKHNINI,A
GIL DIAS,C
BENASSI,C
CRISTOFORO,C
EYSSERIC,C
SIMEONE,A
BABACAR,A
PIOLI,ALL
PERIN,P
BIRASCHI,D
ROSSETTINI,D
GENTILETTI,D
LAZOVIC,C
BERTOLACCI,C
MIGUEL VELOSO,C
LAXALT,C
PANDEV,A
OMEONGA,C
GALABINOV,A
SALCEDO MORA,A
TAARABT,C
PALLADINO,A
JURIC,ALL
HANDANOVIC,P
D'AMBROSIO,D
MIRANDA,D
SKRINIAR,D
NAGATOMO,D
VECINO,C
BORJA VALERO,C
JOAO MARIO,C
CANDREVA,C
BROZOVIC,C
GAGLIARDINI,C
PERISIC,C
ICARDI,A
EDER,A
SPALLETTI,ALL
BUFFON,P
LICHTSTEINER,D
RUGANI,D
CHIELLINI,D
ALEX SANDRO,D
MARCHISIO,C
KHEDIRA,C
PJANIC,C
CUADRADO,C
DOUGLAS COSTA,C
DYBALA,A
MANDZUKIC,A
HIGUAIN,A
MATUIDI,C
ALLEGRI,ALL
STRAKOSHA,P
WALLACE,D
DE VRIJ,D
RADU,D
BASTA,D
MARUSIC,C
PAROLO,C
LUIS ALBERTO,C
MILINKOVIC-SAVIC,C
LULIC,C
CAICEDO,A
PALOMBI,A
LUKAKU,D
IMMOBILE,A
INZAGHI S,ALL
DONNARUMMA G,P
CONTI,D
ABATE,D
BONUCCI,D
MUSACCHIO,D
RODRIGUEZ R,D
KESSIE',C
LOCATELLI M,C
MAURI J,C
CALHANOGLU,C
SUSO,C
CUTRONE,A
ANDRE' SILVA,A
BORINI,A
MONTELLA,ALL
REINA,P
HYSAJ,D
CHIRICHES,D
KOULIBALY,D
GHOULAM,D
ZIELINSKI,C
DIAWARA,C
HAMSIK,C
ALLAN,C
CALLEJON,A
GIACCHERINI,C
MILIK,A
MERTENS,A
INSIGNE,A
SARRI,ALL
ALISSON,P
BRUNO PERES,D
FAZIO,D
MANOLAS,D
JUAN JESUS,D
KOLAROV,D
STROOTMAN,C
DE ROSSI,C
NAINGGOLAN,C
DEFREL,A
EL SHAARAWY,A
DZEKO,A
PEROTTI,C
PELLEGRINI,C
DI FRANCESCO,ALL
PUGGIONI,P
SALA,D
SILVESTRE,D
REGINI,D
PAVLOVIC,D
BARRETO E,C
TORREIRA,C
PRAET,C
DJURICIC,C
RAMIREZ,C
LINETTY,C
CAPRARI,A
BONAZZOLI,A
QUAGLIARELLA,A
GIAMPAOLO,ALL
CONSIGLI,P
LIROLA,D
CANNAVARO,D
ACERBI,D
PELUSO,D
SENSI,C
MISSIROLI,C
MAGNANELLI,C
DUNCAN,C
BERARDI,A
FALCINELLI,A
MATRI,A
POLITANO,A
RAGUSA,A
BUCCHI,ALL
SIRIGU,P
ZAPPACOSTA,D
N'KOULOU,D
MORETTI,D
MOLINARO,D
ACQUAH,C
OBI,C
RINCON,C
IAGO FALQUE,A
LJAJIC,A
BERENGUER,C
BELOTTI,A
MIHAJLOVIC,ALL
SCUFFET,P
WAGUE,D
SAMIR,D
ANGELLA,D
NUYTINCK,D
PEZZELLA GIU,D
FOFANA,C
PERICA,A
HALLFREDSSON,C
JANKTO,C
DE PAUL,C
BEHRAMI,C
THEREAU,A
LASAGNA,A
DELNERI,ALL
NICOLAS,P
CACERES,D
FERRARI A,D
HEURTAUX,D
VALOTI,C
SOUPRAYEN,D
ROMULO,D
BUCHEL,C
ZACCAGNI,C
FARES,A
VERDE,A
BESSA,C
CERCI,A
PAZZINI,A
PECCHIA,ALL
CRAGNO,P
PADOIN,D
JOAO PEDRO,C
PISACANE,D
ANDREOLLI,D
CAPUANO,D
FARAGO',C
CIGARINI,C
DESSENA,C
IONITA,C
BARELLA,C
FARIAS,A
COP,A
SAU,A
RASTELLI,ALL
CORDAZ,P
MARTELLA,D
CABRERA,D
CECCHERINI,D
FARAONI,D
STOIAN,C
IZCO,C
MANDRAGORA,C
BARBERIS,C
ROHDEN,C
NALINI,C
TROTTA,A
DUSSENNE,D
BUDIMIR,A
NICOLA,ALL
BELEC,P
VENUTI,D
LUCIONI,D
COSTA,D
LETIZIA,D
DI CHIARA,D
CICIRETTI,C
CATALDI,C
DEL PINTO,C
VIOLA,C
D'ALESSANDRO,C
CODA M,A
PUSCAS,A
CISSE' K,A
BARONI,ALL
GOMIS A,P
OIKONOMOU,D
CREMONESI,D
VICARI,D
VAISANEN,D
LAZZARI M,C
MATTIELLO,D
SCHIATTARELLA,C
VIVIANI,C
MORA,C
COSTA F,D
FLOCCARI,A
PALOSCHI,A
BORRIELLO,A
SEMPLICI,ALL
MBAYE,D
HELANDER,D
CRISETIG,C
