,role
SPORTIELLO,P
TOLOI,D
PALOMINO,D
DJIMSITI,D
ROMERO,D
HATEBOER,D
PASALIC,C
DE ROON,C
FREULER,C
GOSENS,D
MOJICA,D
MALINOVSKYI,C
GOMEZ,C
MURIEL,A
ZAPATA D.,A
LAMMERS,A
GASPERINI,ALL
SKORUPSKI,P
DE SILVESTRI,D
TOMIYASU,D
DANILO LAR.,D
DIJKS,D
SCHOUTEN,C
ORSOLINI,A
SKOV OLSEN,A
DOMINGUEZ,C
SANSONE,A
SORIANO,C
SANTANDER,A
BARROW,A
VIGNATO,A
PALACIO,A
SVANBERG,C
MIHAJLOVIC,ALL
DRAGOWSKI,P
MILENKOVIC,D
CECCHERINI,D
CACERES,D
CHIESA,C
LIROLA,D
BONAVENTURA,C
BORJA VALERO,C
DUNCAN,C
CASTROVILLI,C
BIRAGHI,D
VENUTI,D
KOUAME',A
CUTRONE,A
RIBERY,A
VLAHOVIC,A
IACHINI,ALL
PERIN,P
GOLDANIGA,D
ZAPATA C.,D
BIRASCHI,D
GHIGLIONE,D
LERAGER,C
MELEGONI,C
BADELJ,C
RADOVANOVIC,C
ZAJC,C
BEHRAMI,C
ZAPPACOSTA,D
CZYBORRA,D
PANDEV,A
PJACA,A
DESTRO,A
MARAN,ALL
HANDANOVIC,P
SKRINIAR,D
DE VRIJ,D
KOLAROV,D
HAKIMI,D
VIDAL,C
BARELLA,C
GAGLIARDINI,C
ERIKSEN,C
YOUNG,D
PERISIC,C
SENSI,C
BROZOVIC,C
LUKAKU,A
MARTINEZ L.,A
SANCHEZ,A
CONTE,ALL
SZCZESNY,P
DANILO,D
BONUCCI,D
CHIELLINI,D
DEMIRAL,D
CUADRADO,D
BENTANCUR,C
RAMSEY,C
MCKENNIE,C
RABIOT,C
FRABOTTA,D
DE SCIGLIO,D
KULUSEVSKI,C
DOUGLAS COSTA,C
RONALDO,A
PIRLO,ALL
STRAKOSHA,P
PATRIC,D
ACERBI,D
RADU,D
BASTOS,D
LAZZARI,C
ANDERSON D.,C
MILINKOVIC-SAVIC,C
AKPA AKPRO,C
LUCAS LEIVA,C
CATALDI,C
LUIS ALBERTO,C
ESCALANTE,C
MARUSIC,C
IMMOBILE,A
CAICEDO,A
INZAGHI S,ALL
DONNARUMMA G.,P
CALABRIA,D
GABBIA,D
KJAER,D
DUARTE,D
HERNANDEZ T.,D
BENNACER,C
KRUNIC,C
KESSIE',C
TONALI,C
CASTILLEJO,C
SAELEMAEKERS,C
CALHANOGLU,C
DIAZ B.,C
REBIC,A
IBRAHIMOVIC,A
PIOLI,ALL
OSPINA,P
DI LORENZO,D
KOULIBALY,D
MANOLAS,D
HYSAJ,D
RUIZ,C
ELMAS,C
DEMME,C
OSIMHEN,A
ZIELINSKI,C
LOBOTKA,C
LOZANO,A
POLITANO,C
MERTENS,A
PETAGNA,A
INSIGNE,A
GATTUSO,ALL
MIRANTE,P
MANCINI,D
CRISTANTE,C
IBANEZ,D
KARSDORP,D
SANTON,D
DIAWARA,C
VILLAR,C
VERETOUT,C
SPINAZZOLA,D
PEDRO,A
PELLEGRINI LO.,C
KLUIVERT,C
MKHITARYAN,C
FONSECA,ALL
AUDERO,P
BERESZYNSKI,D
TONELLI,D
QUAGLIARELLA,A
COLLEY,D
AUGELLO,D
DEPAOLI,D
YOSHIDA,D
THORSBY,C
DAMSGAARD,C
EKDAL,C
LERIS,C
RAMIREZ,C
JANKTO,C
BONAZZOLI,A
VERRE,C
