,role
SPORTIELLO,P
CHERUBIN,D
DRAME',D
MASIELLO A,D
STENDARDO,D
CARMONA,C
DE ROON,C
GOMEZ A,C
KURTIC,C
MORALEZ,C
D'ALESSANDRO,C
MIGLIACCIO,C
DENIS,A
PINILLA,A
REJA,ALL
BRKIC,P
BUBNJIC,D
GAGLIOLO,D
LETIZIA,D
SPOLLI,D
GABRIEL SILVA,D
WALLACE,D
DI GAUDIO,C
LAZZARI,C
MARRONE,C
PORCARI,C
LASAGNA,A
MATOS,A
WILCZEK,A
CASTORI,ALL
BIZZARRI,P
CESAR,D
FREY,D
GAMBERINI,D
GOBBI,D
CACCIATORE,D
BIRSA,C
CASTRO,C
HETEMAJ,C
RADOVANOVIC,C
RIGONI N,C
MPOKU,A
PALOSCHI,A
MEGGIORINI,A
MARAN,ALL
SKORUPSKI,P
BARBA,D
MARIO RUI,D
MARTINELLI,D
ZAMBELLI,D
CROCE,C
DIOUSSE',C
SAPONARA,C
ZIELINSKI,C
SIGNORELLI,C
RONALDO P,C
MACCARONE,A
PUCCIARELLI,A
MCHEDLIDZE,A
GIAMPAOLO,ALL
TATARUSANU,P
GILBERTO,D
MARCOS ALONSO,D
RODRIGUEZ GO,D
RONCAGLIA,D
TOMOVIC,D
ASTORI,D
SUAREZ,C
FERNANDEZ M,C
BADELJ,C
BORJA VALERO,C
ILICIC,C
KALINIC,A
BERNARDESCHI,A
PAULO SOUSA,ALL
LEALI,P
CRIVELLO,D
DIAKITE',D
ROSI,D
CIOFANI M,D
RUSSO,D
GORI,C
GUCHER,C
PAGANINI,C
SODDIMO,C
DIONISI,A
LONGO,A
CARLINI,A
VERDE,A
STELLONE,ALL
LAMANNA,P
BURDISSO,D
CISSOKHO,D
DE MAIO,D
MARCHESE,D
NTCHAM,C
KUCKA,C
LAXALT,C
LAZOVIC,C
TINO COSTA,C
TACHTSIDIS,C
CAPEL,C
PANDEV,A
PANICO,A
GASPERINI,ALL
HANDANOVIC,P
JUAN JESUS,D
MIRANDA,D
MURILLO,D
SANTON,D
BROZOVIC ,C
GNOUKOURI,C
KONDOGBIA,C
MEDEL,C
HERNANES,C
PALACIO,A
JOVETIC,A
ICARDI,A
MANAJ,A
MANCINI,ALL
BUFFON,P
BARZAGLI,D
BONUCCI,D
CHIELLINI,D
EVRA,D
LICHTSTEINER,D
ISLA,D
PADOIN,C
POGBA,C
PEREYRA,C
COMAN,A
MANDZUKIC,A
DYBALA,A
LLORENTE,A
ALLEGRI,ALL
BERISHA,P
BASTA,D
DE VRIJ,D
GENTILETTI,D
RADU,D
BIGLIA,C
CANDREVA,C
KISHNA,C
LULIC,C
CATALDI,C
MILINKOVIC-SAVIC,C
FELIPE ANDERSON,C
PAROLO,C
KEITA B,A
PIOLI,ALL
DIEGO LOPEZ,P
ANTONELLI,D
DE SCIGLIO,D
RODRIGO ELY,D
ROMAGNOLI A,D
ZAPATA C,D
NOCERINO,C
BERTOLACCI,C
BONAVENTURA,C
DE JONG,C
HONDA,C
BACCA,A
LUIZ ADRIANO,A
CERCI,A
MIHAJLOVIC,ALL
REINA,P
MAGGIO,D
ALBIOL,D
CHIRICHES,D
HYSAJ,D
DAVID LOPEZ,C
VALDIFIORI,C
HAMSIK,C
EL KADDOURI,C
HIGUAIN,A
MERTENS,A
INSIGNE,A
CALLEJON,A
GABBIADINI,A
SARRI,ALL
SORRENTINO,P
EL KAOUTARI,D
GONZALEZ G,D
LAZAAR,D
RISPOLI,D
VITIELLO,D
DAPRELA',D
HILJEMARK,C
CHOCHEV,C
JAJALO,C
QUAISON,C
RIGONI,C
VAZQUEZ,A
TRAJKOVSKI,A
IACHINI,ALL
SZCZESNY,P
CASTAN,D
MANOLAS,D
TOROSIDIS,D
DE ROSSI,C
FLORENZI,C
NAINGGOLAN,C
PJANIC,C
KEITA S,C
IAGO FALQUE,A
IBARBO,A
GERVINHO,A
SALAH,A
DZEKO,A
GARCIA,ALL
VIVIANO,P
CASSANI,D
CODA,D
REGINI,D
