,role
SILVESTRE,D
BARRETO E,C
IVAN,C
SORIANO,C
FERNANDO,C
WSZOLEK,C
EDER,A
MURIEL,A
CASSANO,A
ZENGA,ALL
CONSIGLI,P
VRSALJKO,D
CANNAVARO,D
ACERBI,D
PELUSO,D
DUNCAN,C
MAGNANELLI,C
MISSIROLI,C
BERARDI,A
FLORO FLORES,A
DEFREL,A
SANSONE N,A
POLITANO,A
FALCINELLI,A
DI FRANCESCO,ALL
PADELLI,P
AVELAR,D
BRUNO PERES,D
GLIK,D
MAKSIMOVIC,D
MORETTI,D
BASELLI,C
BENASSI,C
GAZZI,C
ACQUAH,C
VIVES,C
MAXI LOPEZ,A
QUAGLIARELLA,A
MARTINEZ,A
VENTURA,ALL
KARNEZIS,P
ADNAN,D
DANILO,D
EDENILSON,D
HEURTAUX,D
PIRIS,D
WIDMER,D
BADU,C
BRUNO FERNANDES,C
ITURRA,C
KONE,C
DI NATALE,A
THEREAU,A
ZAPATA D,A
COLANTUONO,ALL
RAFAEL,P
MARQUEZ,D
MORAS,D
PISANO E,D
SOUPRAYEN,D
ROMULO,D
GRECO,C
HALLFREDSSON,C
JANKOVIC,C
SALA,C
PAZZINI,A
SILIGARDI,A
JUANITO GOMEZ,A
TONI,A
MANDORLINI,ALL
GRASSI,C
GIORGI,C
ESTIGARRIBIA,C
MIRANTE,P
MBAYE,D
MAIETTA,D
ROSSETTINI,D
MASINA,D
FERRARI ,D
DIAWARA,C
PULGAR,C
CRISETIG,C
DONSAH,C
BRIENZA,C
FALCO,C
DESTRO,A
MANCOSU,A
ROSSI D,ALL
FEDELE,C
LOLLO,C
PEPE,C
TONELLI,D
COSTA,D
MAIELLO,C
REBIC,A
ROSSI,A
BLANCHARD,D
TONEV,C
CIOFANI D,A
IZZO,D
RINCON,C
GAKPE',A
PAVOLETTI,A
NAGATOMO,D
RANOCCHIA,D
BROZOVIC,C
GUARIN,C
CACERES,D
STURARO,C
CUADRADO,C
MORATA,A
PATRIC,D
MORRISON,C
SUSO,C
POLI,C
KOULIBALY,D
GHOULAM,D
JORGINHO,C
ALLAN,C
STRUNA,D
GOLDANIGA,D
DIGNE,D
ITURBE,A
LJAJIC,A
ZUKANOVIC,D
MOISANDER,D
PALOMBO,C
LARIBI,C
MERKEL,C
MARQUINHO,C
VIVIANI,C
BELLINI,D
PALETTA,D
RAIMONDI,D
TOLOI,D
MONACHELLO,A
FERRARI,D
TAIDER,C
GIACCHERINI,C
MOUNIER,C
RIZZO,C
BENUSSI,P
ZACCARDO,D
BIANCO,C
MBAKOGU,A
BORRIELLO,A
DAINELLI,D
PINZI,C
LAURINI,D
PAREDES,C
LIVAJA,A
PASQUAL,D
VECINO,C
BLASZCZYKOWSKY,C
BABACAR,A
PAVLOVIC,D
CHIBSAH,C
SAMMARCO,C
PEROTTI,C
DZEMAILI,C
TELLES,D
FELIPE MELO,C
PERISIC,C
ALEX SANDRO,D
MARCHISIO,C
MARCHETTI,P
HOEDT,D
MAURICIO,D
MAURI,C
MATRI,A
ABATE,D
MONTOLIVO,C
BALOTELLI,A
MARESCA,C
GILARDINO,A
DJURDJEVIC,A
RUDIGER,D
TOTTI,A
PEREIRA P,D
CORREA,C
RODRIGUEZ A,A
FLOCCARI,A
BOVO,D
MOLINARO,D
JANSSON,D
OBI,C
BELOTTI,A
AGUIRRE,A
IONITA,C
CIGARINI,C
OIKONOMOU,D
ROMAGNOLI S,D
COFIE,C
INGLESE,A
VERDU',C
DIOGO FIGUEIRAS,D
LEMINA,C
ZAZA,A
ONAZI,C
DJORDJEVIC,A
CALABRIA,D
DE SANCTIS,P
MAICON,D
CHRISTODOULOPOULOS,C
GAZZOLA,D
BIONDINI,C
ZAPPACOSTA,D
WAGUE,D
GOLLINI,P
BIANCHETTI,D
ACQUAFRESCA,A
PELLISSIER,A
MARANER,ALL
PIU,A
FRARA,C
CASTILLO,A
BIABIANY,A
NETO,P
ALEX,D
COLOMBI,P
UCAN,C
MESBAH,D
DOMIZZI,D
PASQUALE,D
ALBERTAZZI,D
HELANDER,D
ZACCAGNI,C
BITTANTE,D
LA GUMINA,A
VAINQUEUR,C
ROCCA,C
CARBONERO,C
TERRANOVA,D
ARIAUDO,D
GASTON SILVA,D
LODI,C
MATUZALEM,C
GASTALDELLO,D
BRIGHI,C
BELEC,P
MARTINHO,C
SANNINO,ALL
BUCHEL,C
KRUNIC,C
MARTUSCIELLO,ALL
BERTONCINI,D
KHEDIRA,C
ASAMOAH,C
KONKO,D
EMERSON,D
GYOMBER,D
FELIPE,D
DALESSANDRO,C
MATTIELLO,D
PERIN,P
KLOSE,A
ANDELKOVIC,D
DAPRELA,D
PERICA,A
DA COSTA,P
KRAFTH,D
MUNOZ,D
DONNARUMMA G,P
BONAZZOLI,A
PEGOLO,P
PRCIC,C
BLASZCZYKOWSKI,C
ANSALDI,D
BRUGMAN,C
CHECCHIN,C
DONADONI,ALL
LEZZERINI,P
VERDU,C
ZAPPINO,P
D'AMBROSIO,D
MEXES,D
LONGHI,D
PASCIUTI,C
NIANG,A
DE SILVESTRI,D
PELLEGRINI,C
AMAURI,A
BRIVIO,D
GAKPE,A
BALLARDINI,ALL
SADIQ,A
MONTELLA,ALL
PEZZELLA,D
MORGANELLA,D
DELNERI,ALL
MORLEO,D
MONTOYA,D
BASSI,P
RUGANI,D
CONTI,D
CRIMI,C
AJETI,D
CHALOBAH,C
DI LIVIO,C
TUMMINELLO,A
EMANUELSON,C
FARES,A
SUAGHER,D
KRAGL,C
BRAAFHEID,D
BOATENG,C
STRINIC,D
CRISTANTE,C
DIAMANTI,C
ZUNIGA,D
BALOGH,A
VIVIANI FA,ALL
SPALLETTI,ALL
ICHAZO,P
IMMOBILE,A
SARDO,D
ZARATE,A
BISEVAC,D
BARROS SCHELOTTO,ALL
DODO',D
ALVAREZ R,C
TROTTA,A
COPPOLA,P
POLI F,D
CAMPORESE,D
TEDESCO,ALL
EL SHAARAWY,A
ANTEI,D
GUILHERME,C
KUZMANOVIC,C
SECULIN,P
COSTA F,D
TELLO,A
MATAVZ,A
NUCIARI,ALL
FREULER,C
CONSTANT,D
SABELLI,D
VERDI,C
SANCHEZ,ALL
FAVILLI,A
FARNERUD,C
ARMERO,D
FIAMOZZI,D
MENEZ,A
ALASTRA,P
BOSI,ALL
COSIC,D
DIOUSSE,C
STROOTMAN,C
KRSTICIC,C
POSAVEC,P
CARRIZO,P
DE GUZMAN,C
PRYIMA,D
ABBIATI,P
MAURI J,C
SAKIC,ALL
NOVELLINO,ALL
ADJAPONG,D
BENTIVEGNA,A
DE CANIO,ALL
ZUCULINI,C
GABRIEL,P
CIONEK,D
SAMIR,D
PELAGOTTI,P
INZAGHI S,ALL
CALZONA,ALL
BROCCHI,ALL
NINKOVIC,C
LOCATELLI M,C
EDERA,A
SKRINIAR,D
DJIMSITI,D
BARDI,P
RADUNOVIC,P
GAGLIARDINI,C
TABACCHI,D
PUGLIESI,P
RADU I,P
DELLA GIOVANNA,D
BRIGNOLI,P
PONCE A,A
FURMAN,C
