,role
GOLLINI,P
DJIMSITI,D
PALOMINO,D
MASIELLO A,D
MURIEL,A
HATEBOER,D
FREULER,C
MALINOVSKYI,C
DE ROON,C
GOSENS,D
PASALIC,C
GOMEZ A,C
ZAPATA D,A
TOLOI,D
GASPERINI,ALL
SKORUPSKI,P
TOMIYASU,D
DANILO LAR,D
DENSWIL,D
DIJKS,D
POLI,C
KINGSLEY,C
DZEMAILI,C
SORIANO,C
ORSOLINI,A
PALACIO,A
DESTRO,A
SANSONE N,A
SANTANDER,A
MIHAJLOVIC,ALL
DRAGOWSKI,P
LIROLA,D
MILENKOVIC,D
PEZZELLA GER,D
VENUTI,D
CASTROVILLI,C
BADELJ,C
BENASSI,C
PULGAR,C
SOTTIL,A
RIBERY,C
VLAHOVIC,A
BOATENG,A
CHIESA,C
MONTELLA,ALL
RADU I,P
ROMERO C,D
ZAPATA C,D
CRISCITO,D
GHIGLIONE,D
SCHONE,C
RADOVANOVIC,C
BARRECA,D
EL YAMIQ,D
LERAGER,C
KOUAME',A
SANABRIA,A
PINAMONTI,A
PANDEV,A
ANDREAZZOLI,ALL
HANDANOVIC,P
D'AMBROSIO,D
RANOCCHIA,D
SKRINIAR,D
CANDREVA,C
VECINO,C
BARELLA,C
BROZOVIC,C
SENSI,C
GAGLIARDINI,C
ASAMOAH,D
LUKAKU R,A
MARTINEZ L,A
POLITANO,A
CONTE,ALL
SZCZESNY,P
DE SCIGLIO,D
BONUCCI,D
CHIELLINI,D
ALEX SANDRO,D
KHEDIRA,C
RABIOT,C
PJANIC,C
MATUIDI,C
DOUGLAS COSTA,C
CUADRADO,C
HIGUAIN,A
BERNARDESCHI,C
CRISTIANO RONALDO,A
SARRI,ALL
STRAKOSHA,P
LUIZ FELIPE,D
ACERBI,D
VAVRO,D
RADU,D
LAZZARI M,C
MARUSIC,C
MILINKOVIC-SAVIC,C
CATALDI,C
PAROLO,C
LUIS ALBERTO,C
LULIC,C
IMMOBILE,A
CORREA,A
INZAGHI S,ALL
DONNARUMMA G,P
CALABRIA,D
MUSACCHIO,D
ROMAGNOLI A,D
RODRIGUEZ R,D
BORINI,C
KESSIE',C
CALHANOGLU,C
PAQUETA',C
BENNACER,C
SUSO,C
CASTILLEJO,C
RAFAEL LEAO,A
PIATEK,A
GIAMPAOLO,ALL
MERET,P
DI LORENZO,D
MANOLAS,D
KOULIBALY,D
MARIO RUI,D
GHOULAM,D
ALLAN,C
ELMAS,C
ZIELINSKI,C
CALLEJON,C
RUIZ,C
INSIGNE,A
MERTENS,A
HYSAJ,D
ANCELOTTI,ALL
PAU LOPEZ,P
FLORENZI,D
ZAPPACOSTA,D
FAZIO,D
JUAN JESUS,D
MANCINI G,D
KOLAROV,D
CRISTANTE,C
PELLEGRINI LO,C
UNDER,C
ZANIOLO,C
KLUIVERT,C
PASTORE,C
DZEKO,A
FONSECA,ALL
AUDERO,P
BERESZYNSKI,D
MURILLO,D
COLLEY,D
MURRU,D
EKDAL,C
VIEIRA,C
LINETTY,C
LERIS,C
GABBIADINI,A
BONAZZOLI,A
QUAGLIARELLA,A
CAPRARI,A
JANKTO,C
DI FRANCESCO,ALL
CONSIGLI,P
TOLJAN,D
MULDUR,D
MARLON,D
FERRARI G,D
ROGERIO,D
PELUSO,D
BOURABIA,C
OBIANG,C
LOCATELLI M,C
RASPADORI,A
TRAORE' HJ,C
BOGA,A
CAPUTO,A
DE ZERBI,ALL
SIRIGU,P
BONIFAZI,D
DJIDJI,D
BREMER,D
IZZO,D
DE SILVESTRI,D
BASELLI,C
MEITE',C
RINCON,C
LUKIC,C
ANSALDI,C
AINA,D
ZAZA,A
BELOTTI,A
MAZZARRI,ALL
MUSSO,P
RODRIGO BECAO,D
TROOST-EKONG,D
SAMIR,D
STRYGER LARSEN,D
FOFANA,C
NESTOROVSKI,A
JAJALO,C
MANDRAGORA,C
PEZZELLA GIU,D
SEMA,C
PUSSETTO,A
DE PAUL,C
LASAGNA,A
TUDOR,ALL
SILVESTRI,P
RRAHMANI,D
KUMBULLA,D
DAWIDOWICZ,D
FARAONI,D
HENDERSON L,C
MIGUEL VELOSO,C
LAZOVIC,C
VERRE,C
AMRABAT,C
ZACCAGNI,C
BOCCHETTI,D
TUTINO,A
GUNTER,D
JURIC,ALL
RAFAEL,P
PINNA,D
CEPPITELLI,D
KLAVAN,D
LYKOGIANNIS,D
NANDEZ,C
NAINGGOLAN,C
IONITA,C
RAGATZU,A
BIRSA,C
CASTRO,C
JOAO PEDRO,A
PAVOLETTI,A
CERRI,A
MARAN,ALL
BERISHA E,P
CIONEK,D
VICARI,D
FELIPE,D
D'ALESSANDRO,C
TOMOVIC,D
VALOTI,C
MURGIA,C
MISSIROLI,C
KURTIC,C
IGOR,D
FLOCCARI,A
PETAGNA,A
DI FRANCESCO F,C
SEMPLICI,ALL
ARANA,D
ILICIC,A
MEDEL,C
RANIERI L,D
DALBERT,D
ROMULO,C
PAJAC,D
GODIN,D
DANILO,D
DE LIGT,D
CAN ,C
DYBALA,A
BASTOS,D
LUCAS LEIVA,C
JONY,C
ANDRE' SILVA,A
LOZANO,A
DIAWARA,C
SANTON,D
FERRARI A,D
BARRETO,C
RAMIREZ,C
DUNCAN,C
MAZZITELLI,C
DJURICIC,C
BERARDI,A
BERENGUER,C
LAXALT,C
TEODORCZYK,A
PESSINA,C
OLSEN,P
PISACANE,D
ROG,C
CIGARINI,C
PELLEGRINI LU,D
SIMEONE,A
VALDIFIORI,C
BANI,D
SKOV OLSEN,A
CECCHERINI,D
CACERES,D
ZURKOWSKI,C
ANKERSEN,D
SAPONARA,C
DE VRIJ,D
SANCHEZ A,A
BENTANCUR,C
PATRIC,D
CAICEDO,A
BIGLIA,C
REBIC,A
MAKSIMOVIC,D
LLORENTE,A
YOUNES,C
SPINAZZOLA,D
VERETOUT,C
MKHITARYAN,C
REGINI,D
RIGONI E,A
DEPAOLI,D
CHIRICHES,D
DEFREL,A
VERDI,C
DE MAIO,D
OPOKU,D
BARAK,C
WALACE,C
DI CARMINE,A
STEPINSKI,A
CACCIATORE,D
SALA,D
