,role
SPORTIELLO,P
RAIMONDI,D
TOLOI,D
ZUKANOVIC,D
PETAGNA,A
CONTI,D
KURTIC,C
GAGLIARDINI,C
KESSIE',C
DRAME',D
D'ALESSANDRO,C
SPINAZZOLA,C
PALOSCHI,A
GOMEZ A,C
GASPERINI,ALL
MIRANTE,P
KRAFTH,D
GASTALDELLO,D
MAIETTA,D
OIKONOMOU,D
MASINA,D
TAIDER,C
PULGAR,C
NAGY,C
DZEMAILI,C
VERDI,C
RIZZO,C
DESTRO,A
KREJCI,C
DONADONI,ALL
SORRENTINO,P
CACCIATORE,D
DAINELLI,D
CESAR,D
GOBBI,D
CASTRO,C
RIGONI N,C
RADOVANOVIC,C
HETEMAJ,C
BIRSA,C
PARIGINI,A
INGLESE,A
MEGGIORINI,A
PELLISSIER,A
MARAN,ALL
PELAGOTTI,P
LAURINI,D
COSIC,D
COSTA,D
PASQUAL,D
TELLO A,C
KRUNIC,C
MAIELLO,C
CROCE,C
BUCHEL,C
GILARDINO,A
SAPONARA,C
PUCCIARELLI,A
MACCARONE,A
MARTUSCIELLO,ALL
TATARUSANU,P
TOMOVIC,D
RODRIGUEZ GO,D
ASTORI,D
BERNARDESCHI,C
VECINO,C
BADELJ,C
SANCHEZ,C
MARCOS ALONSO,D
CHIESA,A
TELLO C,C
ILICIC,C
ROSSI,A
KALINIC,A
PAULO SOUSA,ALL
LAMANNA,P
IZZO,D
BURDISSO,D
GENTILETTI,D
LAZOVIC,C
FIAMOZZI,D
RINCON,C
MIGUEL VELOSO,C
LAXALT,C
PANDEV,A
NTCHAM,C
PAVOLETTI,A
OCAMPOS,C
RIGONI,C
JURIC,ALL
HANDANOVIC,P
D'AMBROSIO,D
RANOCCHIA,D
MIRANDA,D
CANDREVA,C
PERISIC,C
MEDEL,C
BANEGA,C
BROZOVIC,C
KONDOGBIA,C
NAGATOMO,D
ICARDI,A
EDER,A
PALACIO,A
DE BOER,ALL
BUFFON,P
BARZAGLI,D
BONUCCI,D
CHIELLINI,D
DANI ALVES,D
KHEDIRA,C
HERNANES,C
LEMINA,C
ASAMOAH,C
ALEX SANDRO,D
DYBALA,A
EVRA,D
MANDZUKIC,A
HIGUAIN,A
ALLEGRI,ALL
MARCHETTI,P
BASTA,D
DE VRIJ,D
HOEDT,D
LUKAKU,D
PAROLO,C
BIGLIA,C
MILINKOVIC-SAVIC,C
CATALDI,C
LOMBARDI,A
WALLACE,D
IMMOBILE,A
KISHNA,C
DJORDJEVIC,A
INZAGHI S,ALL
DONNARUMMA G,P
