,role
COSTA F,D
BERISHA E,P
DE MAIO,D
BARBA,D
MAIETTA,D
CAPUANO,D
GHIGLIONE,D
CASSATA,C
ARDAIZ,A
FAVILLI,A
DALMONTE,A
GAGLIARDINI,C
NAINGGOLAN,C
CANDREVA,C
MURGIA,C
CAICEDO,A
VERDI,C
OUNAS,A
MARCANO,D
KARSDORP,D
SANTON,D
VIEIRA,C
LEMOS,D
DELL'ORCO,D
ZAZA,A
VIZEU,A
PALOSCHI,A
DJOUROU,D
ILICIC,C
SVANBERG,C
LERIS,A
CIOFANI D,A
PEREIRA P,D
BENATIA,D
MAKSIMOVIC,D
JUAN JESUS,D
DJURICIC,C
PARIGINI,A
JOAO PEDRO,C
CALABRESI,D
MBAYE,D
KREJCI,C
PELLISSIER,A
HANCKO,D
MEDEIROS,A
SANDRO,C
BORJA VALERO,C
RUGANI,D
PATRIC,D
PEROTTI,C
BRIGNOLA,A
EDERA,A
VALOTI,C
TUMMINELLO,A
PAZ,D
BRIGHI,C
MCHEDLIDZE,A
VLAHOVIC,A
ARIAUDO,D
PERIN,P
BARZAGLI,D
MALCUIT,D
RUIZ,C
PELLEGRINI LU,D
ZANIOLO,C
ADJAPONG,D
MATRI,A
DJIDJI,D
ANDREOLLI,D
LAURINI,D
VLOET,C
PUCCIARELLI,A
BERISHA V,C
ZAPATA C,D
MONCINI,A
VENTURA,ALL
PROVEDEL,P
UCAN,C
GORI,C
ROMERO C,D
CORIC,C
WAGUE,D
MILINKOVIC-SAVIC V,P
BONIFAZI,D
CESAR,D
JOAO MARIO,C
DE SCIGLIO,D
MUSSO,P
BALIC,C
TER AVEST,D
FLOCCARI,A
TANASIJEVIC,D
LUKAKU J,D
FRUSTALUPI,ALL
DICKMANN,D
IACHINI,ALL
DI CARLO,ALL
CARILLO,ALL
CECCHERINI,D
THEREAU,A
MIRANTE,P
PEZZELLA GIU,D
NICOLA,ALL
LAPADULA,A
KEAN,A
MAURI J,C
TROTTA,A
UNTERSEE,D
ROLON,C
PRANDELLI,ALL
MERET,P
GHOULAM,D
YOUNES,A
PAJAC,D
