,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37
MASINA,6.5,4.5,5.5,5.5,5.5,0.0,5.0,5.5,4.0,5.5,6.0,4.5,6.0,7.0,6.0,5.0,6.0,4.5,0.0,6.0,4.5,5.5,5.0,0.0,6.5,6.0,5.0,6.5,6.0,5.5,6.0,5.5,6.0,5.0,0.0,6.0,5.0,5.0
PULGAR,0.0,4.0,6.0,6.0,5.5,7.5,5.5,6.0,6.5,4.5,0.0,6.0,6.5,5.0,6.0,5.5,6.5,6.0,1.0,6.0,5.5,9.5,6.0,10.0,6.5,5.0,5.0,5.5,9.5,5.5,5.5,0.0,0.0,5.5,0.0,6.5,0.0,5.0
TAIDER,6.0,0.0,7.5,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
KREJCI,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.5,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,5.5,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
POLI,4.5,5.5,5.0,6.0,5.0,6.0,10.0,6.0,0.0,5.0,6.0,6.0,6.5,5.0,0.0,5.5,3.5,0.0,5.5,5.5,5.5,6.0,6.5,10.0,6.0,0.0,0.0,0.0,6.0,6.0,6.5,0.0,6.0,5.5,5.5,6.0,6.0,6.0
DONSAH,10.0,0.0,0.0,6.0,6.0,6.5,7.0,5.5,5.0,0.0,5.5,10.0,8.0,5.0,6.0,6.0,0.0,6.0,5.5,6.5,0.0,6.0,0.0,0.0,6.0,5.0,6.0,6.0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0
VERDI,6.0,6.0,6.0,10.5,6.0,6.5,6.5,5.5,6.0,6.0,13.5,9.0,11.5,5.5,10.0,6.0,11.0,6.0,5.5,9.5,0.0,0.0,0.0,0.0,0.0,5.5,6.0,10.0,6.0,5.0,11.0,6.0,5.0,7.0,9.5,10.0,5.0,7.5
PALACIO,0.0,6.0,9.5,6.0,6.5,10.0,7.5,6.0,0.0,0.0,6.5,7.5,6.5,5.5,6.0,0.0,0.0,5.5,5.5,6.5,10.0,5.5,9.5,0.0,0.0,0.0,0.0,5.5,5.0,5.5,6.0,5.0,6.0,5.5,5.0,5.0,0.0,0.0
DESTRO,5.0,4.5,0.0,0.0,0.0,6.5,0.0,5.0,5.5,0.0,5.0,9.5,6.0,9.0,7.5,5.0,13.5,5.5,5.0,10.0,6.0,6.0,0.0,6.0,10.5,4.5,5.5,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,5.0,0.0,5.5
DI FRANCESCO F,6.5,5.5,6.0,6.5,0.0,0.0,6.5,6.5,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.0,5.5,7.5,5.5,5.5,7.5,5.5,6.0,6.0,0.0,7.5,4.5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0
DONADONI,6.5,5.5,5.5,6.5,7.0,6.5,6.5,5.5,5.0,5.5,5.5,7.0,7.0,6.0,6.0,5.5,7.0,5.5,5.0,7.0,5.5,5.0,6.0,7.0,6.5,6.0,5.0,6.5,6.5,5.5,6.0,6.0,6.0,5.0,6.5,5.5,5.5,6.0
SORRENTINO,3.5,3.0,5.5,4.0,7.5,5.5,7.5,4.0,2.0,2.0,7.5,9.5,6.5,0.0,9.0,5.5,2.0,5.5,5.0,0.5,4.5,5.5,5.5,5.0,5.5,4.5,5.0,6.0,6.0,8.5,7.0,7.5,3.5,2.5,5.0,6.0,7.0,5.0
CACCIATORE,5.5,6.0,6.5,6.5,7.5,6.5,6.5,7.5,4.5,8.5,6.5,6.0,6.0,5.0,6.5,5.0,8.5,6.0,7.0,5.0,3.5,0.0,0.0,5.5,5.5,5.0,4.5,5.5,6.0,0.0,5.5,6.0,5.5,4.5,6.0,0.0,0.0,5.5
DAINELLI,6.0,5.0,0.0,6.0,6.5,6.5,6.5,6.5,0.0,4.0,0.0,0.0,0.0,4.0,6.0,5.0,0.0,0.0,0.0,0.0,6.5,6.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.5,6.5,6.5
GAMBERINI,6.0,5.5,6.0,6.0,6.5,6.0,6.5,4.5,5.0,0.0,7.0,0.0,0.0,4.5,6.0,5.5,6.5,0.0,0.0,0.0,5.0,5.5,5.5,6.0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,5.5,0.0,5.0,0.0,0.0,0.0,6.5
GOBBI,5.0,6.0,6.0,0.0,0.0,0.0,0.0,5.5,6.0,5.5,6.5,5.0,5.5,4.5,0.0,4.5,0.0,5.5,6.0,4.5,0.0,0.0,6.0,6.0,0.0,5.0,5.5,0.0,5.0,6.5,0.0,0.0,0.0,0.0,9.0,6.0,6.0,5.5
CASTRO,6.5,5.0,6.0,7.5,6.0,14.0,6.5,5.5,5.0,5.0,6.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,5.5,6.0,6.0,5.5,10.0,0.0,5.5,0.0,5.5,6.0,0.0,7.5,6.0,7.5
RADOVANOVIC,5.5,5.5,6.0,6.0,6.5,5.0,6.0,6.0,5.5,5.5,6.0,4.5,0.0,0.0,5.5,5.0,5.5,4.5,10.0,7.0,5.5,5.5,5.5,6.5,5.5,6.0,5.0,6.0,6.0,6.5,6.0,6.0,6.5,4.0,6.0,0.0,6.0,6.5
HETEMAJ,6.0,2.0,5.5,9.5,7.0,8.0,0.0,6.0,5.0,0.0,6.0,10.0,6.0,0.0,0.0,6.0,6.0,5.0,6.0,5.0,6.5,6.0,0.0,6.5,5.5,4.5,5.5,6.0,10.0,0.0,6.0,6.5,6.0,4.0,5.5,5.0,6.5,6.5
BIRSA,6.0,6.0,6.5,5.5,6.0,7.5,5.5,7.5,9.0,6.5,6.0,6.0,6.5,5.0,6.5,4.5,7.5,5.0,6.0,5.5,5.5,5.5,6.0,6.0,0.0,5.5,5.5,6.0,6.0,0.0,0.0,0.0,7.5,6.5,10.0,6.5,5.5,11.5
RIGONI N,0.0,6.0,0.0,0.0,5.5,0.0,5.5,0.0,0.0,0.0,0.0,0.0,5.0,4.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,5.5,5.5,5.0,5.0,5.5,0.0,-0.5
INGLESE,6.0,5.0,7.0,5.5,10.0,5.5,5.0,13.5,0.0,5.0,6.0,5.0,13.5,5.0,6.0,5.5,9.5,5.5,0.0,0.0,0.0,0.0,5.5,10.0,5.5,5.5,5.5,10.0,6.0,5.5,4.5,5.0,5.0,5.0,6.0,10.0,10.0,10.0
PELLISSIER,0.0,6.0,0.0,5.5,0.0,0.0,5.5,10.0,5.5,5.5,0.0,0.0,8.0,0.0,0.0,5.0,6.0,5.0,6.0,5.0,0.0,0.0,6.0,0.0,0.0,6.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PUCCIARELLI,9.5,5.5,5.5,0.0,6.0,6.5,5.0,5.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,-0.5,6.0,9.5,5.0,0.0,0.0,4.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,6.0,5.0,0.0,0.0,0.0,5.5
GARRITANO,0.0,0.0,0.0,0.0,6.5,0.0,6.0,0.0,0.0,5.5,0.0,0.0,0.0,5.5,0.0,0.0,6.5,5.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
MARAN,6.5,5.0,6.0,6.0,7.0,7.0,6.0,7.0,5.0,4.0,7.5,6.5,6.5,5.0,6.5,5.0,5.5,5.0,6.0,5.0,6.0,5.0,5.0,7.0,5.0,5.5,5.0,6.0,6.5,6.0,6.5,6.0,5.5,4.5,0.0,0.0,0.0,6.5
SPORTIELLO,3.5,7.5,5.0,5.0,10.0,4.0,5.0,7.0,7.0,4.0,2.0,5.5,5.5,7.5,8.0,7.0,7.0,4.5,5.5,3.5,1.0,4.0,3.0,5.0,7.5,8.0,7.5,5.0,7.5,8.0,7.0,4.5,0.0,7.0,4.0,4.0,3.5,3.5
TOMOVIC,4.0,0.0,5.5,5.5,6.0,4.5,6.5,0.0,5.0,5.0,7.0,5.5,6.0,5.5,6.5,0.0,5.0,6.0,3.5,5.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,6.0,6.5,6.5,6.5,5.0,4.0,6.5,6.5,6.5,4.5
VITOR HUGO,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,6.5,6.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,6.5,10.5,6.5,6.0,5.0,5.0,6.0,5.0,0.0,0.0,0.0,5.5,4.5
ASTORI,6.0,10.0,5.5,5.5,6.5,5.5,6.0,6.5,6.0,4.5,6.0,6.0,6.0,7.0,6.5,6.5,6.5,6.5,5.5,0.0,5.0,6.5,5.5,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
OLIVERA M,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.5,5.5
VERETOUT,5.0,10.5,6.0,6.0,5.5,5.0,6.5,8.0,6.5,6.0,9.5,5.5,6.5,10.0,6.0,6.5,6.5,5.5,6.0,0.0,4.5,6.5,6.0,5.5,6.0,10.0,6.0,6.5,5.5,6.5,6.0,16.5,5.0,6.5,5.5,3.5,0.0,6.0
SANCHEZ,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
ZEKHNINI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GIL DIAS,6.5,9.5,6.5,5.5,5.5,5.5,0.0,0.0,0.0,5.5,7.5,5.0,0.0,0.0,6.0,6.0,0.0,5.5,0.0,5.5,9.5,5.5,5.5,6.0,0.0,5.5,5.5,0.0,0.0,5.5,6.0,5.5,5.5,0.0,0.0,0.0,0.0,6.5
BENASSI,5.5,8.0,5.5,5.5,0.0,5.5,6.5,10.0,11.5,9.5,5.5,5.5,6.0,5.5,5.0,6.0,5.5,5.5,5.5,4.5,5.0,6.5,6.0,5.0,6.0,6.0,5.5,5.5,0.0,10.0,5.5,0.0,4.5,6.0,10.0,5.0,5.0,5.5
CRISTOFORO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,6.0
EYSSERIC,6.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,6.5,5.5,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,7.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,5.5,5.5,0.0,0.0,5.5,10.0,5.5,0.0,5.5
SIMEONE,5.5,9.5,5.5,5.5,5.5,10.0,6.5,7.5,11.0,5.0,9.5,7.5,5.0,10.0,5.5,5.5,5.5,10.0,10.0,5.5,5.0,5.0,5.0,5.0,5.0,10.0,5.0,6.0,10.0,10.0,5.0,5.5,5.5,17.5,7.5,5.0,9.5,5.5
BABACAR,6.0,6.0,0.0,0.0,5.0,5.5,0.0,10.0,10.0,4.5,6.0,6.5,9.5,6.0,0.0,5.5,10.0,0.0,6.5,4.5,0.0,4.5,5.5,9.5,5.0,5.5,10.0,5.5,0.0,0.0,9.0,0.0,0.0,5.5,6.0,6.0,5.5,6.0
PIOLI,5.5,7.5,6.5,5.0,6.0,5.0,6.5,6.5,7.0,5.0,5.5,6.5,6.5,7.0,7.0,5.5,6.5,6.0,7.0,4.5,4.5,7.0,6.5,6.0,6.5,7.0,6.5,6.5,7.0,7.0,6.0,6.0,5.0,7.5,7.0,4.0,5.0,5.5
PERIN,3.0,5.5,3.5,5.0,5.5,5.5,4.0,7.5,3.5,5.5,4.0,7.0,5.0,7.0,5.0,7.0,7.5,8.5,8.0,4.5,5.0,5.0,7.0,7.5,4.0,5.5,5.5,5.0,5.0,7.0,7.0,5.0,5.0,2.5,2.5,0.0,4.0,7.0
BIRASCHI,4.5,6.0,0.0,5.5,6.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,7.5,0.0,5.0,6.5,6.5,0.0,0.0,5.5,5.5,5.0,5.5,6.5,0.0,0.0,6.5,5.5,5.5,6.5,5.0,6.5
ROSSETTINI,5.5,6.0,5.0,6.0,6.0,4.5,6.5,7.0,5.0,5.5,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.5,5.5,0.0,6.5,0.0,6.5,6.0,6.0,0.0,0.0,0.0,0.0,7.0,5.0,6.0,4.0,0.0,0.0,0.0,5.5
GENTILETTI,4.5,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
LAZOVIC,5.0,6.0,0.0,5.5,0.0,6.5,0.0,5.5,6.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.5,0.0,0.0,6.0,0.0,6.0,0.0,6.5,6.5,5.5,0.0,6.0,0.0,7.5,5.5,6.0,0.0,0.0,6.5
BERTOLACCI,5.0,3.5,0.0,5.5,0.0,0.0,6.0,5.5,5.5,5.0,0.0,6.0,6.0,5.5,10.0,6.0,5.5,5.0,6.0,5.5,5.0,6.5,6.0,6.5,6.0,0.0,5.0,6.0,5.5,6.5,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.5
MIGUEL VELOSO,5.5,5.5,5.0,6.0,6.0,5.0,6.5,6.0,5.0,0.0,5.0,6.0,6.5,6.5,6.0,5.5,5.5,5.5,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,6.0,0.0,5.0,5.5
LAXALT,5.0,6.0,5.0,10.0,6.0,5.5,6.0,5.5,5.5,6.0,6.0,7.5,6.0,5.5,5.5,0.0,6.5,5.0,6.0,5.0,0.0,10.0,10.0,6.5,6.0,5.5,6.5,5.5,6.0,6.5,5.5,0.0,8.0,0.0,0.0,0.0,6.0,6.0
PANDEV,7.0,5.5,0.0,0.0,6.0,6.0,0.0,0.0,0.0,5.5,6.0,6.5,5.0,9.5,5.0,5.0,5.0,6.5,6.0,5.0,5.0,10.0,6.5,10.5,6.5,0.0,6.0,6.5,5.5,5.0,6.0,6.5,10.0,6.0,4.0,0.0,10.0,5.5
OMEONGA,0.0,6.5,0.0,0.0,5.0,0.0,0.0,0.0,5.5,5.5,6.5,0.0,0.0,5.0,6.0,6.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.5,6.0
GALABINOV,10.0,6.0,0.0,0.0,0.0,6.0,10.0,5.5,7.5,5.5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,5.0,6.0,7.0,5.5,5.5,5.5,0.0,5.0,5.5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
SALCEDO MORA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
TAARABT,5.5,5.5,6.0,6.0,4.5,0.0,11.5,6.0,10.0,6.0,6.0,7.0,4.5,7.0,7.0,6.5,6.0,5.0,0.0,5.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
PALLADINO,5.5,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
JURIC,5.5,5.5,5.0,5.0,6.0,5.0,7.0,5.0,6.0,5.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
HANDANOVIC,5.0,7.0,8.5,4.5,7.5,5.5,2.5,8.5,3.5,4.0,5.0,7.0,5.5,7.5,8.0,3.5,4.5,8.0,6.0,5.0,5.0,5.0,5.5,3.5,7.0,8.0,7.0,7.0,7.0,5.5,7.5,7.0,6.0,3.0,7.5,4.0,4.5,7.5
D'AMBROSIO,5.0,7.0,6.0,5.5,10.0,6.0,6.5,6.5,6.5,5.0,5.5,8.0,5.5,6.5,5.0,5.0,5.5,0.0,0.0,0.0,5.5,6.0,5.5,6.0,5.0,5.5,6.0,6.0,6.5,5.0,5.5,6.5,7.5,5.5,0.0,5.0,9.5,6.0
MIRANDA,6.5,6.0,5.0,6.0,6.0,5.0,5.0,6.0,5.5,6.5,5.0,6.5,5.5,0.0,7.0,5.5,6.0,0.0,0.0,6.5,6.0,5.5,5.0,0.0,0.0,6.5,6.5,6.5,6.5,5.5,6.0,6.5,6.0,5.5,0.0,0.0,5.0,6.5
SKRINIAR,6.0,7.0,10.0,6.0,6.5,6.0,6.0,7.0,9.5,7.0,6.0,6.5,6.0,10.5,6.5,5.0,5.5,6.5,6.5,6.5,6.0,6.0,6.0,5.5,10.0,5.5,7.0,6.5,6.0,5.5,6.0,6.0,6.5,3.5,6.5,5.5,6.0,7.0
NAGATOMO,6.5,0.0,6.0,5.0,0.0,5.5,6.0,6.0,6.5,6.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
VECINO,9.5,6.0,6.0,5.5,5.5,5.5,6.5,6.5,7.5,6.5,6.0,6.0,6.0,0.0,5.5,5.0,0.0,5.0,5.5,10.0,5.5,5.0,5.5,5.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.5,0.0,5.5,9.5,6.5
BORJA VALERO,5.5,6.5,5.5,5.5,5.5,5.0,6.0,6.5,6.0,9.5,6.0,7.0,6.0,6.5,6.0,5.5,5.0,6.5,4.5,6.0,5.5,5.5,5.5,5.5,0.0,6.0,0.0,0.0,6.0,5.5,5.5,6.0,6.0,0.0,10.0,6.0,0.0,6.5
JOAO MARIO,6.5,6.5,6.0,5.0,7.5,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5
CANDREVA,6.5,6.0,5.0,6.0,5.5,8.0,8.0,6.5,6.5,7.5,6.5,7.5,8.0,8.5,5.5,7.5,6.0,5.0,0.0,5.5,5.0,5.5,0.0,6.0,5.5,6.0,6.0,6.5,7.0,6.0,0.0,6.0,0.0,5.5,6.0,5.0,5.0,6.0
BROZOVIC,0.0,5.5,0.0,0.0,6.0,13.5,0.0,0.0,0.0,5.5,5.0,5.5,10.0,8.0,5.0,6.0,4.5,0.0,0.0,7.5,6.0,6.5,6.5,6.0,0.0,6.5,6.5,6.5,8.0,6.0,0.0,11.0,6.5,6.0,9.0,5.0,7.0,5.5
GAGLIARDINI,5.0,6.0,5.0,0.0,0.0,6.0,5.0,6.0,5.0,5.5,5.5,6.0,5.0,0.0,6.0,5.5,5.5,6.0,5.5,5.0,0.0,0.0,5.5,5.0,5.0,5.5,6.0,7.0,5.5,5.5,6.5,6.0,0.0,0.0,0.0,0.0,0.0,6.0
