,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37
BERISHA,3.0,6.0,0.0,4.5,5.0,7.5,3.0,7.0,0.0,4.0,6.0,4.0,7.5,5.0,6.0,3.0,7.0,0.0,5.0,5.5,0.0,7.0,4.0,0.0,4.0,4.5,7.0,7.0,0.0,5.0,7.5,7.0,5.0,5.0,5.0,5.0,0.0,5.0
TOLOI,6.0,6.0,0.0,6.5,6.0,0.0,0.0,0.0,6.5,6.5,7.5,5.5,6.0,6.0,5.5,5.5,6.5,7.5,6.5,6.0,7.0,6.0,6.0,0.0,5.5,9.0,6.5,6.5,6.5,0.0,5.5,0.0,6.5,6.5,6.0,3.5,0.0,5.5
PALOMINO,5.5,0.0,5.5,0.0,5.5,6.0,5.5,7.0,6.0,0.0,6.5,4.5,0.0,0.0,6.5,6.0,0.0,0.0,6.0,0.0,6.5,0.0,9.5,5.5,5.5,0.0,6.5,6.5,6.5,5.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.5
MASIELLO A,6.0,6.0,7.0,6.5,0.0,6.5,5.0,6.5,0.0,5.5,0.0,5.0,6.5,5.5,9.5,5.5,6.5,6.0,6.5,6.5,10.0,6.5,6.0,0.0,0.0,6.5,6.5,6.5,10.0,6.0,6.0,6.5,0.0,6.0,5.5,9.5,0.0,5.5
HATEBOER,6.0,6.0,6.0,6.0,0.0,6.0,4.5,0.0,6.5,0.0,6.0,6.0,5.5,6.0,5.5,5.5,6.5,6.0,6.5,6.0,6.0,6.5,6.0,5.5,5.0,6.0,0.0,0.0,6.5,6.0,6.5,6.5,5.5,6.0,6.0,0.0,6.0,6.0
CRISTANTE,9.5,6.0,6.0,6.0,0.0,10.0,9.0,6.5,0.0,1.5,9.5,5.5,10.0,6.0,6.0,5.0,10.0,5.5,6.0,6.5,10.0,7.5,5.5,5.0,4.5,5.5,6.5,9.5,5.5,5.5,6.0,7.0,6.5,11.5,6.0,6.5,5.5,6.5
DE ROON,4.5,6.0,6.5,0.0,4.5,0.0,5.5,5.5,6.5,6.0,6.0,6.0,5.0,0.0,5.5,0.0,6.0,5.0,8.0,0.0,6.0,6.0,6.0,6.0,5.0,5.5,10.0,6.0,5.5,9.5,6.0,4.5,6.0,6.0,7.5,5.0,5.5,6.0
FREULER,5.5,0.0,5.5,6.5,10.0,5.5,5.0,7.5,11.5,5.5,4.0,0.0,6.0,6.0,7.0,6.0,6.5,6.0,6.5,5.5,9.5,6.0,6.5,5.0,0.0,5.5,6.5,6.5,6.5,5.5,6.0,10.0,10.0,5.5,6.5,6.0,6.5,6.0
GOSENS,6.0,6.0,0.0,6.0,0.0,0.0,0.0,5.5,7.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,6.0,5.5,0.0,0.0,0.0,6.0,6.0,6.0,6.0,10.0,6.0,6.5,6.0,6.0,5.5
KURTIC,5.0,6.5,5.5,0.0,5.0,5.5,0.0,6.0,10.0,9.0,6.0,5.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,5.0,6.0,5.0,4.5,4.0,6.5,6.0,5.5,5.0,0.0,5.5,0.0,5.5,5.5,10.0,5.5,5.5,6.5,5.5
ILICIC,5.5,5.5,6.0,13.0,6.5,5.5,6.0,6.0,10.0,5.5,0.0,6.0,7.5,10.0,11.5,13.5,10.0,5.5,7.5,5.5,8.0,6.5,6.5,6.0,6.0,0.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,10.0,6.5,7.5,5.5,6.0
PETAGNA,6.0,10.0,5.5,11.0,0.0,6.0,6.0,5.5,0.0,5.0,5.5,6.0,6.0,7.5,6.0,7.5,6.5,5.0,6.0,0.0,6.0,6.0,5.5,9.0,5.5,5.5,5.5,6.5,9.5,4.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0
CORNELIUS,0.0,10.0,0.0,0.0,7.5,5.0,5.0,10.5,6.0,0.0,0.0,0.0,5.0,6.0,5.5,0.0,0.0,6.0,10.0,5.5,5.5,5.5,6.0,0.0,5.5,0.0,5.5,0.0,0.0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5
GOMEZ A,6.5,7.5,9.5,13.0,2.0,7.5,6.0,0.0,6.5,0.0,6.0,5.0,6.5,6.0,6.5,8.0,7.0,9.5,8.0,6.0,0.0,0.0,0.0,8.0,5.0,6.0,5.5,11.0,8.0,6.5,5.5,10.0,6.5,7.5,6.5,6.0,6.0,6.5
GASPERINI,6.0,6.5,6.0,7.5,6.5,7.0,5.0,7.0,7.0,5.5,6.0,5.0,6.0,6.0,7.5,6.5,7.5,5.5,6.5,6.0,7.5,7.0,6.0,6.0,6.0,5.5,7.0,7.0,7.0,6.0,6.0,7.0,6.5,7.0,6.5,6.5,5.5,6.0
MIRANTE,7.5,3.0,3.5,5.0,0.0,8.0,5.0,5.5,3.0,0.0,0.0,3.5,7.5,4.5,4.0,2.5,5.0,4.0,3.0,7.5,3.0,1.5,4.0,6.0,7.5,5.0,6.0,5.0,0.0,5.5,7.0,5.5,7.5,4.5,2.5,4.0,0.0,4.5
TOROSIDIS,5.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,4.5,0.0,5.5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,6.5,6.0,4.5,0.0,0.0,0.0,0.0,5.5,0.0,5.0,6.0
DE MAIO,6.0,5.0,0.0,0.0,6.5,0.0,6.0,5.5,5.5,0.0,0.0,0.0,6.5,5.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,5.0,5.5,5.5,0.0,6.0,5.5,5.5,6.0,5.0,6.5,0.0,5.5,9.5,3.0,5.5,5.5,5.0
MAIETTA,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,5.0,0.0,0.0,7.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
