,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37
GOLLINI,2.5,0.0,4.5,4.0,0.0,4.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,6.0,5.0,5.5,4.5,7.5,7.5,5.5,7.0,5.0,5.5,4.5,5.0,7.0
TOLOI,5.5,0.0,5.0,5.0,6.0,5.0,5.5,7.0,7.0,6.5,6.0,6.5,0.0,8.0,6.5,1.0,0.0,7.0,6.5,9.0,6.5,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5
DJIMSITI,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,5.5,0.0,3.0,0.0,6.5,5.0,5.5,0.0,5.0,5.5,6.0,6.0,5.0,0.0,0.0,6.5,0.0,5.0,6.0,6.5,7.5,6.5,6.5,6.5
MASIELLO A,0.0,5.5,5.5,5.0,6.5,0.0,6.0,0.0,0.0,0.0,0.0,2.0,5.0,5.5,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.5,5.5,5.5,6.0,6.0,6.0,6.0,6.0,6.5,5.5,0.0,7.0,6.5,6.5
HATEBOER,5.5,6.0,0.0,0.0,6.0,5.5,5.5,6.5,5.5,6.5,9.5,10.0,7.0,7.5,6.5,5.0,5.0,6.5,7.5,6.0,10.0,7.0,4.5,5.5,0.0,6.5,6.0,6.0,9.5,6.5,5.5,7.5,6.0,6.0,5.5,4.0,0.0,10.0
DE ROON,5.5,5.5,4.5,6.0,6.0,5.0,6.0,10.5,6.5,6.0,6.0,6.0,5.5,6.5,6.5,0.0,0.0,0.0,6.0,6.0,5.5,6.0,4.5,0.0,4.5,6.0,5.0,6.0,6.5,6.0,6.0,6.0,10.0,6.5,7.5,5.5,5.5,6.5
FREULER,0.0,6.0,5.0,6.0,5.5,5.5,5.5,9.0,6.5,6.5,7.0,10.0,6.0,7.0,6.0,6.0,6.0,6.5,0.0,0.0,6.5,5.5,9.5,5.5,6.0,5.5,6.0,6.5,6.5,6.0,6.0,5.5,5.5,6.5,6.5,6.0,6.0,6.0
GOSENS,0.0,6.0,4.5,6.0,5.0,0.0,0.0,11.5,6.5,6.0,8.0,6.0,6.5,6.5,6.5,5.5,6.0,0.0,0.0,0.0,0.0,6.0,6.0,5.5,10.0,10.0,5.5,0.0,6.5,0.0,6.0,6.0,6.5,0.0,6.5,5.5,6.0,6.5
CASTAGNE,9.5,0.0,5.0,5.5,0.0,5.5,5.5,0.0,0.0,0.0,5.5,0.0,0.0,6.0,0.0,0.0,6.5,5.5,6.5,9.0,6.5,6.5,6.0,4.5,7.5,0.0,6.0,6.5,0.0,6.5,6.5,5.5,6.0,10.0,10.0,5.5,6.0,6.0
PASALIC,7.5,5.0,6.0,5.0,5.5,4.5,5.5,6.0,0.0,0.0,6.0,5.0,0.0,0.0,6.0,0.0,5.5,6.5,9.5,5.5,5.0,6.0,0.0,5.5,6.0,6.0,5.5,9.0,6.0,5.5,0.0,10.0,9.5,6.0,5.0,6.0,10.0,10.0
