,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37
BADELJ,5.5,4.5,5.0,5.5,5.5,0.0,6.0,5.0,0.0,0.0,0.0,0.0,6.0,6.0,6.5,6.5,7.0,5.5,6.5,7.5,0.0,10.0,0.0,5.5,6.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
RADOVANOVIC,6.0,0.0,6.0,6.0,0.0,5.0,0.0,0.0,6.0,5.5,-0.5,6.0,5.5,5.5,5.5,6.0,7.0,6.5,6.5,6.5,5.5,5.5,5.0,5.5,6.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
ZAJC,5.0,5.0,0.0,6.0,6.0,5.0,6.0,5.5,0.0,0.0,0.0,0.0,5.5,6.5,5.0,10.0,6.0,5.0,8.0,7.5,5.5,6.5,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
BEHRAMI,6.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,5.5,6.0,0.0,6.5,6.5,0.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
ZAPPACOSTA,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,5.5,6.0,6.0,6.0,6.0,7.5,6.5,6.5,6.0,0.0,10.0,5.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5
CZYBORRA,0.0,0.0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.5,5.5,5.5,5.5,0.0,6.0,6.0,10.0,5.5,6.0,5.0,5.5,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
PANDEV,5.0,7.0,5.5,6.0,5.5,5.5,5.0,6.0,0.0,0.0,0.0,5.5,7.0,0.0,0.0,0.0,6.0,5.5,6.0,13.5,5.0,6.0,5.5,6.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5
PJACA,5.5,5.5,0.0,5.5,5.5,9.5,0.0,0.0,10.0,5.0,6.0,5.5,0.0,6.0,6.0,0.0,6.0,6.0,6.5,0.0,5.5,5.5,5.5,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5
DESTRO,4.5,0.0,0.0,0.0,0.0,6.0,0.0,0.0,7.0,5.5,13.5,5.0,9.5,9.5,0.0,10.0,0.0,9.5,13.5,6.0,5.5,5.5,0.0,6.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
MARAN,4.5,5.5,5.0,5.5,6.0,5.0,5.5,5.0,6.0,5.5,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
HANDANOVIC,3.0,4.5,7.5,7.0,4.0,4.5,4.0,7.0,5.0,5.0,8.0,5.0,4.0,4.0,4.0,4.0,7.5,7.0,7.0,7.5,5.0,8.5,7.0,5.5,7.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
SKRINIAR,0.0,6.0,0.0,0.0,0.0,6.0,6.0,6.5,7.0,6.0,5.5,6.0,10.0,6.0,5.5,9.5,6.5,6.0,6.5,6.5,7.0,7.0,6.5,6.0,10.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
DE VRIJ,0.0,7.0,5.0,0.0,5.0,6.0,6.0,6.0,6.0,6.5,6.5,6.0,7.0,6.0,9.0,6.0,6.5,6.5,6.0,6.5,6.5,6.5,6.5,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
KOLAROV,4.5,0.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
HAKIMI,7.5,5.5,5.5,6.0,5.0,0.0,6.0,0.0,13.5,6.0,6.0,10.0,8.5,10.0,6.0,10.0,6.5,5.5,6.5,8.0,5.5,6.0,0.0,6.5,6.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
VIDAL,6.0,6.0,5.5,6.5,6.0,5.5,6.0,6.5,6.5,0.0,0.0,5.5,6.5,4.5,0.0,6.0,10.0,5.5,6.0,6.0,0.0,0.0,0.0,6.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
BARELLA,6.5,5.5,6.0,7.0,6.0,7.0,6.0,6.0,6.0,11.5,6.0,6.0,6.0,6.5,4.5,5.5,11.5,5.5,6.5,10.0,6.5,6.5,7.0,6.0,6.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
GAGLIARDINI,0.0,6.0,0.0,0.0,5.5,5.5,5.0,10.0,6.5,0.0,6.0,5.0,0.0,6.0,5.5,0.0,6.0,0.0,6.0,6.5,6.0,0.0,6.0,0.0,6.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
ERIKSEN,5.5,0.0,5.5,6.0,5.5,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,6.5,6.5,6.5,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YOUNG,5.5,5.0,0.0,0.0,6.0,7.5,4.5,0.0,0.0,6.0,5.0,6.0,5.5,5.5,5.5,6.0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5
PERISIC,5.0,5.0,6.5,5.5,9.0,5.5,6.0,5.5,6.5,5.0,0.0,0.0,5.0,6.5,5.5,5.0,0.0,5.5,6.5,9.5,6.5,8.5,6.5,5.5,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
SENSI,6.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,6.5,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
BROZOVIC,5.5,6.5,5.0,5.5,9.5,6.0,0.0,0.0,8.0,5.5,5.0,5.0,6.5,8.0,7.0,8.5,7.0,6.0,0.0,7.0,7.0,6.5,6.0,6.5,6.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
LUKAKU,9.5,5.5,9.5,10.0,0.0,6.0,15.0,0.0,10.0,9.5,9.0,9.5,6.5,11.5,6.0,5.0,6.5,5.5,13.5,5.5,14.5,12.0,11.5,7.5,5.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5
MARTINEZ L.,10.5,10.0,6.0,5.0,5.0,9.5,10.0,8.0,6.0,7.5,5.5,7.5,10.0,17.5,5.5,6.0,6.0,5.5,11.5,6.0,10.0,14.5,8.0,6.0,5.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
SANCHEZ,8.0,0.0,0.0,0.0,0.0,6.5,10.5,10.0,6.5,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,7.5,8.0,0.0,0.0,9.5,13.5,6.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5
CONTE,6.5,5.5,5.5,6.5,4.5,6.0,6.5,7.0,6.5,6.5,6.5,5.0,7.0,7.5,5.0,5.5,7.5,4.5,7.0,7.0,7.0,8.0,7.5,7.0,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
SZCZESNY,4.5,0.0,0.0,5.0,0.0,5.0,0.0,5.5,5.5,5.0,6.0,0.0,3.0,4.5,6.0,5.0,4.0,7.5,7.0,7.0,5.0,0.0,5.5,11.0,5.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5
