,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37
DANILO,7.5,0.0,6.0,6.5,6.5,6.5,5.5,6.0,5.5,0.0,6.5,6.0,5.5,8.0,6.5,11.5,5.0,6.0,6.0,6.5,6.5,6.0,0.0,6.5,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
BONUCCI,5.5,0.0,5.0,6.0,6.0,6.0,0.0,0.0,9.5,6.0,6.5,6.0,4.5,6.0,6.5,5.0,5.0,6.5,6.5,6.5,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
CHIELLINI,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.5,7.0,7.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
DEMIRAL,0.0,0.0,6.5,6.5,6.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,5.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUADRADO,5.5,0.0,6.5,6.5,6.5,6.5,6.5,5.0,8.5,6.5,6.0,6.0,3.0,0.0,0.0,0.0,0.0,8.0,8.0,6.0,5.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
BENTANCUR,6.0,0.0,6.5,0.0,6.0,4.5,0.0,6.0,5.5,6.0,6.5,7.0,5.5,7.5,5.5,6.0,5.0,6.0,6.0,0.0,6.0,6.0,5.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
RAMSEY,6.0,0.0,0.0,6.0,6.0,0.0,0.0,5.5,6.0,0.0,0.0,7.5,6.0,8.0,6.0,10.0,5.0,0.0,9.5,0.0,0.0,7.0,5.5,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
MCKENNIE,5.5,0.0,0.0,0.0,8.0,5.5,6.0,0.0,10.0,7.0,6.0,6.5,6.0,6.0,10.0,6.5,6.0,10.0,6.0,6.0,6.0,10.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
RABIOT,3.0,0.0,6.0,6.0,9.0,6.0,5.5,5.5,5.0,4.5,5.0,0.0,0.0,0.0,5.5,5.5,5.0,0.0,6.0,6.5,5.0,0.0,5.0,5.5,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
FRABOTTA,-0.5,0.0,6.5,5.5,6.0,5.5,0.0,5.5,0.0,0.0,0.0,0.0,0.0,5.5,6.0,7.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
DE SCIGLIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
KULUSEVSKI,5.5,0.0,6.0,9.5,6.0,6.5,6.5,5.5,5.0,0.0,0.0,10.0,6.0,6.0,7.5,6.0,6.0,5.5,0.0,6.5,6.0,6.0,6.0,6.0,5.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
DOUGLAS COSTA,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RONALDO,13.5,0.0,0.0,0.0,13.5,10.0,13.5,0.0,5.0,13.0,1.0,13.5,5.5,15.0,6.0,9.0,4.5,7.0,6.0,9.5,5.0,13.5,10.0,9.5,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5
PIRLO,5.5,0.0,5.0,5.5,7.0,5.5,7.0,5.0,5.0,7.0,5.0,7.0,4.0,7.0,7.5,6.5,4.5,7.0,6.5,7.0,5.0,7.0,5.5,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5
STRAKOSHA,7.0,5.0,3.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
PATRIC,6.5,6.0,4.5,6.0,8.0,0.0,6.0,5.0,0.0,0.0,6.0,0.0,5.0,5.0,6.0,0.0,6.0,5.0,5.0,0.0,5.0,5.5,4.5,0.0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5
ACERBI,6.5,8.0,5.5,6.0,5.5,6.5,7.0,5.5,5.5,6.0,0.0,0.0,0.0,6.0,6.5,6.0,6.0,6.0,6.5,7.0,6.0,6.5,6.0,0.0,5.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
RADU,6.0,5.5,0.0,0.0,0.0,5.5,5.5,5.5,6.0,4.5,6.0,6.5,5.5,6.5,0.0,6.0,5.5,6.0,7.5,6.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
BASTOS,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
LAZZARI,10.0,6.0,0.0,6.0,0.0,6.0,6.0,5.5,6.5,5.0,5.5,6.0,6.0,5.0,7.5,8.0,8.5,6.5,6.0,6.5,6.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
ANDERSON D.,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
MILINKOVIC-SAVIC,6.5,10.0,5.5,0.0,10.0,6.0,0.0,0.0,11.5,5.0,7.5,6.5,7.5,5.5,6.0,7.5,6.0,10.0,7.0,8.0,9.5,7.0,5.0,0.0,5.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
AKPA AKPRO,6.0,0.0,0.0,5.0,6.5,5.0,6.5,5.5,5.5,5.5,0.0,0.0,5.5,0.0,6.0,5.5,7.5,6.0,6.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
LUCAS LEIVA,5.0,5.5,5.0,5.5,6.5,0.0,5.5,5.5,6.0,6.0,0.0,0.0,0.0,4.5,0.0,6.0,5.5,5.0,6.5,7.0,6.5,6.0,5.5,0.0,6.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5
CATALDI,0.0,0.0,5.5,0.0,6.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
LUIS ALBERTO,6.5,6.5,5.5,10.5,0.0,6.5,6.0,5.5,6.0,0.0,5.5,10.0,9.0,6.0,6.5,10.0,14.0,0.0,6.0,6.5,6.0,10.0,5.5,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
ESCALANTE,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,5.5,6.5,5.5,5.5,5.0,5.5,0.0,6.0,5.5,0.0,0.0,6.5,5.5,0.0,0.0,5.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
