,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37
SPORTIELLO,7.0,8.0,5.5,7.5,6.0,3.5,7.0,7.5,4.5,3.0,7.0,5.0,7.0,7.5,8.5,0.0,4.0,4.0,5.0,7.0,5.0,3.5,7.0,7.0,3.0,5.5,3.5,3.5,7.5,5.5,4.0,3.0,4.5,7.0,4.5,5.0,0.0,5.5
CHERUBIN,6.0,5.0,0.0,0.0,0.0,5.5,0.0,0.0,6.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,5.5,0.0,6.0,6.5,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,6.5
DRAME',6.5,6.0,0.0,6.5,7.0,5.0,6.0,5.5,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,7.0,6.0,5.0,3.5,0.0,6.0,5.5,6.0,6.0,0.0,6.0,6.5,5.0,6.0,6.0,0.0,5.5,0.0,0.0,6.0
MASIELLO A,6.0,0.0,6.0,6.5,0.0,5.0,6.5,5.5,5.5,6.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,6.0,6.0,6.5,6.5,5.0,6.0,5.5,4.5,6.5,7.5,5.5,5.0,0.0,6.5,4.5,6.5,4.5,5.5
STENDARDO,10.0,0.0,6.5,0.0,0.0,0.0,6.0,0.0,6.5,5.5,0.0,6.0,5.5,0.0,5.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,4.0,0.0,0.0,-0.5,0.0,0.0,0.0,6.0
CARMONA,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.5,5.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
DE ROON,7.0,6.5,5.5,6.0,6.5,5.0,6.5,5.0,6.0,5.5,7.0,5.5,0.0,10.0,6.5,4.0,4.5,0.0,6.5,6.0,6.0,5.5,5.5,5.0,5.0,6.0,6.0,6.0,6.5,8.0,4.5,0.0,5.5,6.5,5.0,6.5,6.5,6.0
GOMEZ A,10.5,7.5,7.5,7.0,7.0,5.0,10.0,6.0,10.5,5.5,6.0,6.0,10.5,8.0,5.5,10.0,6.5,5.5,6.5,5.5,6.0,6.0,5.5,5.0,6.0,0.0,0.0,5.5,10.5,10.0,6.5,10.0,6.5,4.0,0.0,0.0,9.0,6.5
KURTIC,6.0,5.0,5.5,6.5,6.0,0.0,6.0,5.5,5.5,5.0,0.0,0.0,6.0,5.5,3.5,0.0,0.0,5.0,6.5,5.5,6.5,0.0,5.5,6.0,6.0,9.5,5.0,6.5,5.5,6.0,5.5,6.0,0.0,5.0,6.0,6.0,10.0,6.5
MORALEZ,7.0,3.0,10.0,7.0,8.5,5.0,8.0,6.0,6.5,6.0,6.5,6.5,6.5,6.5,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
