,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37
GOLLINI,3.0,5.5,4.0,8.0,0.0,5.0,3.0,5.5,4.5,4.5,7.5,2.0,7.0,3.5,4.5,7.0,0.0,5.0,0.0,7.5,4.0,4.0,4.5,6.5,4.0,4.0,4.0,7.0,0.0,7.0,4.0,0.0,5.5,7.0,4.5,5.5,4.5,4.5
DJIMSITI,6.0,5.5,6.0,0.0,6.0,6.0,0.0,6.0,5.5,6.0,6.5,5.0,6.0,10.0,5.5,6.5,7.0,6.0,5.0,6.5,5.5,6.0,7.5,9.5,0.0,6.5,5.0,6.5,0.0,5.5,6.5,6.0,6.5,6.0,6.5,6.0,5.0,5.5
PALOMINO,0.0,0.0,3.0,6.0,0.0,6.5,5.0,0.0,6.0,5.0,6.0,4.5,6.5,5.5,5.5,6.5,6.5,6.5,4.5,8.0,5.5,6.0,9.5,6.0,6.0,9.5,6.0,6.0,6.0,0.0,6.0,0.0,6.0,6.0,0.0,6.0,0.0,5.5
MASIELLO A,5.5,5.5,6.0,0.0,6.5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,6.5,7.5,4.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
MURIEL,6.0,10.0,6.0,0.0,0.0,6.0,13.5,17.5,6.0,5.5,5.5,6.0,5.5,9.5,5.0,10.0,6.0,2.0,5.5,13.0,5.5,0.0,0.0,5.5,9.5,5.5,13.5,0.0,10.0,10.0,6.5,0.0,0.0,10.0,6.5,6.5,6.0,14.0
HATEBOER,4.5,5.0,0.0,6.5,7.5,0.0,5.5,6.0,5.5,5.5,5.5,5.5,6.0,6.0,6.0,0.0,6.5,5.5,0.0,6.0,5.0,0.0,6.0,6.5,5.5,7.0,5.5,0.0,6.0,6.5,5.5,0.0,5.0,0.0,5.5,6.0,6.0,6.5
FREULER,0.0,6.0,0.0,7.5,6.5,6.5,5.5,0.0,9.5,5.5,0.0,6.0,6.0,5.5,5.5,0.0,9.5,0.0,5.5,6.5,6.0,6.5,5.5,6.0,6.0,6.0,6.5,6.5,0.0,6.0,6.5,0.0,6.0,5.0,6.5,5.5,5.5,5.5
MALINOVSKYI,6.0,0.0,6.0,6.5,5.0,6.0,6.0,6.5,0.0,5.0,4.0,0.0,5.5,10.0,9.5,7.0,0.0,6.0,6.0,6.5,5.5,10.0,0.0,6.0,9.5,10.0,5.5,0.0,7.0,7.5,10.0,13.0,5.5,5.5,2.0,10.0,6.0,6.5
DE ROON,5.5,7.0,5.0,10.0,0.0,6.0,5.0,9.5,4.5,0.0,5.5,6.0,6.0,6.0,5.5,6.0,7.5,5.0,5.0,6.0,4.5,0.0,6.0,6.0,6.0,3.5,6.0,6.5,6.5,6.0,5.0,10.5,0.0,5.5,6.0,6.0,5.5,5.5
GOSENS,5.0,6.5,6.0,0.0,10.0,11.0,7.0,0.0,5.5,5.5,0.0,9.5,6.0,0.0,6.0,7.0,11.5,10.0,6.0,10.0,6.5,6.0,7.5,8.0,6.0,10.0,6.0,10.0,6.0,6.0,0.0,9.5,5.5,5.5,6.5,6.0,6.0,10.0
PASALIC,7.5,5.5,5.0,0.0,6.5,0.0,6.5,10.0,6.0,3.5,6.0,6.5,14.0,6.0,5.0,11.5,0.0,6.0,5.0,6.0,5.0,6.0,10.5,6.0,7.5,0.0,5.5,10.0,6.0,5.5,5.0,17.5,5.5,5.5,5.5,5.5,5.0,6.0
GOMEZ A,6.0,6.0,7.5,7.0,14.0,10.5,10.0,9.5,6.5,6.5,5.5,6.5,6.5,6.5,0.0,10.5,11.0,7.0,6.0,9.5,6.5,6.5,6.5,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5
ZAPATA D,13.5,10.5,5.0,10.0,11.5,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.5,7.5,10.0,9.0,9.0,6.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
TOLOI,4.5,6.5,0.0,7.5,6.0,5.5,7.0,6.0,8.0,5.0,6.0,5.5,0.0,7.0,6.0,6.5,7.0,5.0,5.5,6.5,9.5,6.5,7.0,-0.5,0.0,5.0,6.5,6.0,0.0,10.5,6.0,0.0,5.5,6.5,5.0,0.0,5.5,0.0
GASPERINI,5.5,6.5,6.5,7.0,7.5,7.5,6.0,9.0,6.0,5.0,5.5,5.0,7.0,6.0,6.0,8.0,8.0,6.0,5.5,8.0,5.0,7.0,7.0,7.5,8.0,7.0,7.0,7.0,7.0,6.5,7.0,7.5,5.5,5.5,6.0,6.0,5.5,7.0
SKORUPSKI,7.5,3.0,3.5,7.0,4.5,3.5,4.0,5.0,3.0,4.5,2.5,4.0,5.5,2.5,5.0,3.5,5.5,4.5,6.5,5.0,5.0,4.0,3.0,0.0,4.0,4.0,4.5,5.0,9.5,4.0,3.0,5.0,0.0,6.0,3.5,1.0,5.0,5.0
TOMIYASU,6.5,6.0,5.0,5.0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,4.5,6.0,4.5,7.5,6.5,5.5,5.5,5.5,6.0,0.0,6.5,5.5,7.5,6.5,6.0,6.0,5.5,5.5,6.0,6.0,4.5,9.0,5.0,0.0,0.0,0.0,6.5
DANILO LAR,6.0,0.0,0.0,0.0,0.0,6.0,9.5,6.5,0.0,5.5,4.5,0.0,6.5,6.0,4.5,0.0,6.0,6.0,6.5,6.0,5.0,5.5,4.5,6.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
DENSWIL,6.0,5.0,5.0,5.5,5.5,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,6.0,5.5,5.5,5.5,0.0,0.0,0.0,6.0,3.0,3.0,0.0,6.0,4.5,0.0,0.0,5.5,4.5,0.0,0.0,4.5,5.5,5.5,5.0,6.0,5.5
DIJKS,6.0,6.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,6.5,5.0,5.5,4.5,6.5,6.0,4.5,0.0,5.5,0.0,0.0,5.0
POLI,6.5,6.5,5.5,5.0,0.0,6.0,5.5,6.5,0.0,6.5,5.5,5.5,5.5,6.0,10.0,6.0,6.0,4.5,5.0,10.0,6.0,0.0,5.0,6.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,5.5,0.0,0.0,5.5
KINGSLEY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
DZEMAILI,6.0,5.5,0.0,0.0,5.5,0.0,0.0,6.0,6.0,6.0,5.0,10.0,7.5,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
SORIANO,9.5,5.0,6.0,6.0,3.5,0.0,5.0,7.5,6.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,5.5,6.5,6.5,8.0,6.5,6.0,0.0,0.0,5.5,5.0,5.5,6.0,4.5,0.0,10.0,8.0,5.5,5.5,10.0,6.5,7.0,5.5
ORSOLINI,8.0,11.5,6.0,5.0,5.0,7.5,5.5,5.5,5.0,5.0,10.0,7.0,5.0,6.5,6.0,13.5,10.0,6.0,5.5,5.5,10.0,10.0,5.5,5.5,5.5,5.0,9.5,5.5,5.0,5.0,7.0,6.0,5.0,5.5,7.0,5.0,0.0,6.5
PALACIO,0.0,11.5,5.5,6.0,6.5,9.0,6.5,10.0,5.5,5.5,6.0,9.5,6.5,5.0,10.0,8.0,6.0,4.5,0.0,6.0,6.5,6.0,5.5,10.0,5.5,6.0,5.5,6.5,5.5,6.0,6.0,6.5,0.0,5.5,9.0,0.0,6.0,5.0
DESTRO,6.0,0.0,5.5,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,6.0,5.5,0.0,0.0,0.0,0.0,5.5,0.0,0.0,6.0,0.0,0.0,5.0
SANSONE N,6.5,7.0,10.0,1.5,5.5,5.0,5.5,6.5,5.5,5.5,5.0,5.5,10.0,9.5,5.5,7.5,5.0,4.5,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5
SANTANDER,5.5,4.5,6.0,6.0,5.0,0.0,6.0,5.5,9.5,0.0,0.0,0.0,0.0,5.5,5.5,0.0,5.5,5.0,6.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.5,0.0,5.0,5.5
MIHAJLOVIC,6.5,7.0,6.0,6.0,5.0,6.0,6.0,6.5,5.0,6.0,5.5,5.5,7.0,5.5,6.5,7.0,6.0,5.5,6.0,7.0,6.5,7.0,5.0,6.0,6.0,5.5,6.5,6.0,7.5,4.0,6.0,6.5,4.5,5.0,6.0,5.0,5.5,6.0
DRAGOWSKI,4.5,7.0,3.5,5.0,5.0,7.5,7.0,8.0,5.0,5.0,0.0,5.5,4.5,4.0,6.5,1.5,4.5,7.0,7.5,12.0,3.5,3.5,6.0,5.5,7.0,5.5,4.0,3.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
LIROLA,5.5,6.0,5.5,5.0,5.5,5.5,6.0,6.0,0.0,0.0,5.5,6.0,6.0,0.0,6.0,6.0,5.5,6.0,7.5,6.5,5.5,6.0,8.0,6.0,5.5,5.5,6.0,5.0,6.0,5.5,6.0,6.0,6.5,5.5,4.5,6.0,5.5,5.0
MILENKOVIC,5.5,6.5,5.5,6.0,6.0,10.5,6.0,6.0,9.5,6.0,5.0,5.5,6.0,6.0,5.0,5.5,6.0,6.5,6.0,5.5,0.0,6.0,6.5,6.5,6.5,6.0,5.5,5.0,6.0,6.5,5.0,6.5,6.5,6.5,9.5,10.0,6.5,9.5
PEZZELLA GER,5.5,6.5,6.0,10.0,6.0,6.0,6.0,5.0,5.5,0.0,5.0,0.0,0.0,0.0,6.5,4.5,6.0,9.5,6.5,5.0,4.5,6.5,6.5,6.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5
VENUTI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.5,5.0,0.0,6.0,6.0,5.5,0.0,6.0,6.0,5.0
