,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37
CESAR,4.5,-0.5,5.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,4.5,0.0,0.0,0.0,4.5,10.0,5.5,0.0,5.5,3.5,0.0,5.5,5.0,6.0,4.0,6.0,6.0
GOBBI,6.0,5.5,6.0,6.0,4.5,6.0,5.5,5.5,5.5,0.0,5.0,10.0,5.0,6.0,6.0,0.0,0.0,5.0,5.0,6.0,7.5,6.0,4.5,5.0,6.5,5.5,6.5,0.0,0.0,5.5,0.0,0.0,7.0,0.0,5.5,4.0,5.5,6.5
CASTRO,5.0,6.0,11.5,10.0,5.5,7.5,6.0,4.5,0.0,5.0,6.0,7.0,6.0,6.0,6.5,6.5,0.0,5.0,6.0,6.0,0.0,0.0,5.5,5.5,10.0,6.5,6.5,9.5,7.0,6.5,4.5,5.5,7.5,6.0,5.5,9.5,0.0,6.5
RIGONI N,0.0,0.0,0.0,9.5,0.0,0.0,0.0,6.0,0.0,5.0,0.0,6.0,0.0,0.0,6.0,6.0,5.5,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
RADOVANOVIC,6.5,6.5,5.0,0.0,5.0,6.0,5.5,0.0,6.0,5.5,6.0,5.0,5.5,6.0,6.5,6.0,5.5,5.0,5.0,0.0,6.5,5.0,6.0,5.0,0.0,6.0,6.0,6.0,5.5,5.0,5.5,4.5,5.0,6.0,5.0,5.5,0.0,5.5
HETEMAJ,5.0,5.0,6.5,5.5,5.5,6.0,0.0,6.0,6.5,5.0,6.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,6.0,6.0,5.0,5.5,5.0,6.0,0.0,6.0,5.0,0.0,5.5,4.5,5.0,0.0,0.0,0.0,0.0,0.0,6.5
BIRSA,5.0,7.5,6.0,8.0,5.0,7.5,9.5,5.5,6.0,6.0,6.0,0.0,6.5,2.0,10.0,6.0,6.0,4.5,6.0,5.0,6.0,5.0,9.5,6.0,10.5,6.0,11.5,6.0,5.5,6.5,0.0,5.5,10.0,5.0,0.0,7.0,5.0,14.0
PARIGINI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INGLESE,5.5,5.5,5.0,6.0,5.0,9.5,5.0,6.0,5.5,5.0,0.0,0.0,10.0,6.0,0.0,0.0,5.5,0.0,0.0,5.0,10.0,5.5,14.0,5.5,5.5,5.5,11.5,7.0,5.5,6.0,0.0,7.0,5.5,6.0,10.0,14.5,5.5,6.5
MEGGIORINI,5.0,5.5,5.0,5.0,5.5,10.0,5.0,5.5,6.5,0.0,0.0,6.0,6.0,6.0,6.5,10.0,5.5,5.0,6.5,5.0,0.0,4.5,6.5,9.5,6.5,6.0,0.0,0.0,5.5,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
PELLISSIER,6.0,5.0,7.5,5.0,0.0,0.0,5.5,0.0,0.0,5.5,10.0,6.0,5.5,5.5,10.5,9.5,5.5,9.0,10.0,5.5,0.0,5.5,0.0,0.0,0.0,0.0,9.5,5.5,9.5,6.0,5.0,9.5,6.0,9.5,5.0,7.0,6.0,0.0
MARAN,5.5,6.5,0.0,6.5,5.5,6.5,5.5,6.0,6.5,5.0,6.5,7.0,5.0,6.0,6.5,7.0,6.0,4.5,6.0,5.5,7.0,5.5,7.0,5.5,6.5,5.0,7.5,5.0,5.5,6.0,4.0,5.0,7.0,6.0,6.0,4.0,5.5,7.5
PELAGOTTI,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,4.5
LAURINI,3.0,0.0,6.0,5.5,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.5,7.0,5.0,0.0,6.0,5.0,5.5,4.5,6.0,5.5,5.5,6.0,6.0,0.0,6.0,4.5,6.5,5.5,5.5,5.0,5.0
COSIC,5.5,0.0,0.0,0.0,5.0,5.5,0.0,0.0,0.0,0.0,6.5,0.0,0.0,5.0,6.0,6.0,5.0,6.0,5.5,0.0,0.0,5.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
COSTA,0.0,10.0,6.0,0.0,0.0,0.0,6.5,6.5,5.5,6.5,6.5,4.5,2.0,0.0,6.0,6.0,6.0,0.0,6.5,5.5,4.5,0.0,0.0,4.5,6.0,5.5,5.0,3.5,0.0,0.0,0.0,0.0,0.0,10.0,5.0,6.0,5.0,6.0
PASQUAL,0.0,9.0,6.0,0.0,5.5,5.0,6.0,6.0,0.0,6.5,7.0,4.5,5.5,5.0,5.0,6.0,0.0,6.0,5.5,6.0,0.0,6.5,0.0,6.0,5.0,5.5,5.0,5.0,6.5,6.0,10.0,6.5,6.0,9.5,6.0,5.0,6.0,5.5
TELLO A,0.0,6.5,5.0,5.5,6.0,5.5,-0.5,6.0,4.5,4.5,0.0,0.0,5.5,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,5.5
KRUNIC,5.5,0.0,6.0,0.0,0.0,5.5,5.0,5.5,5.0,5.5,5.5,5.5,5.5,5.0,6.0,6.0,0.0,6.0,6.0,6.5,4.5,5.5,5.0,9.5,5.5,6.0,5.5,6.0,5.0,5.5,5.5,0.0,6.5,0.0,5.5,5.0,10.0,6.0
MAIELLO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
CROCE,6.0,5.5,5.5,6.5,6.5,6.0,0.0,6.5,6.0,6.5,6.5,5.5,6.0,4.5,4.5,7.0,6.5,6.5,6.5,6.5,5.5,7.0,6.5,6.0,0.0,6.5,5.5,5.5,6.0,6.0,6.0,7.0,0.0,10.5,6.0,6.0,6.0,5.5
BUCHEL,6.0,0.0,0.0,5.0,0.0,0.0,5.5,0.0,5.5,6.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,6.5,5.0,6.0,0.0,0.0,0.0,0.0,4.5,0.0,4.5
GILARDINO,5.5,0.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,4.5,6.0,5.5,6.0,5.5,5.5,-0.5,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
SAPONARA,5.5,6.5,5.5,5.5,6.0,0.0,4.5,5.0,5.0,6.0,11.5,5.5,10.0,5.0,5.5,5.0,0.0,5.0,5.5,0.0,0.0,0.0,6.0,0.0,9.5,0.0,5.5,7.5,6.0,7.5,4.5,0.0,5.5,0.0,0.0,0.0,9.5,5.5
PUCCIARELLI,4.5,5.5,5.5,5.0,6.5,5.0,5.5,5.0,5.5,5.5,11.5,5.0,0.0,0.0,0.0,0.0,6.0,6.0,5.5,5.0,5.0,10.0,6.0,6.0,5.5,5.0,5.0,5.0,0.0,6.0,6.5,0.0,9.0,5.5,2.0,5.0,5.0,4.5
MACCARONE,0.0,6.5,0.0,4.5,0.0,5.0,5.5,5.5,6.5,5.5,15.0,6.0,5.0,5.0,5.0,0.0,0.0,10.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,5.0,5.5,9.5,6.0,0.0,0.0,7.0,5.0,6.0,9.5,6.0,4.5,4.0
MARTUSCIELLO,5.5,7.0,6.0,5.0,5.5,6.0,5.5,5.5,6.0,6.5,7.0,5.0,5.5,5.0,5.5,7.0,5.5,6.5,6.0,6.5,5.0,6.5,5.0,6.0,5.5,5.5,5.5,6.0,6.5,6.0,7.0,7.0,5.0,7.0,6.0,5.0,4.0,5.0
TATARUSANU,7.0,4.0,7.5,3.5,7.5,3.5,7.5,3.0,4.0,7.0,5.0,7.5,1.5,5.0,5.5,3.0,3.0,0.0,5.5,8.0,0.0,2.0,7.5,4.0,4.0,8.0,7.0,7.0,7.0,3.5,4.0,1.5,3.5,4.5,4.0,0.5,0.0,3.5
TOMOVIC,6.5,5.5,7.0,4.5,5.5,5.5,0.0,0.0,0.0,5.5,5.5,5.0,6.0,4.5,0.0,4.5,4.0,4.5,0.0,0.0,0.0,0.0,6.5,0.0,5.5,0.0,5.0,0.0,5.5,0.0,5.5,5.5,0.0,5.5,6.0,4.5,5.0,5.0
RODRIGUEZ GO,0.0,6.0,7.0,5.5,5.5,0.0,6.0,5.0,5.5,6.5,5.0,6.5,3.0,0.0,6.0,0.0,0.0,0.0,6.5,6.5,0.0,4.5,6.0,5.5,6.0,5.5,6.0,6.0,0.0,9.0,0.0,0.0,0.0,4.0,0.0,4.5,5.5,5.0
ASTORI,6.0,5.5,6.5,0.0,0.0,5.5,6.5,4.5,10.0,6.5,6.0,7.0,6.5,6.5,5.5,5.0,6.0,0.0,7.0,6.0,5.0,4.5,6.5,5.0,5.0,6.5,5.5,6.0,5.5,5.5,6.0,9.5,3.5,0.0,5.0,0.0,5.0,5.0
BERNARDESCHI,5.5,6.5,6.0,9.0,6.5,6.0,5.5,13.5,5.0,6.5,9.5,13.5,6.5,9.5,5.0,6.0,14.5,0.0,8.0,5.0,4.0,5.5,9.5,0.0,0.0,5.5,6.5,0.0,0.0,5.5,5.0,1.5,0.0,10.0,6.0,5.0,5.5,5.0
VECINO,0.0,5.5,0.0,0.0,6.0,6.0,5.5,6.5,5.5,0.0,0.0,6.5,0.0,5.5,6.0,6.0,5.5,5.5,6.0,7.5,5.5,5.5,6.5,5.5,0.0,6.5,5.5,5.5,0.0,0.0,5.5,15.0,5.0,7.0,7.5,4.5,10.0,5.5
BADELJ,6.5,5.5,10.0,5.5,5.0,5.0,4.5,0.0,6.0,6.5,5.0,6.5,7.0,5.5,8.0,0.0,5.5,5.5,10.0,6.0,5.0,5.0,6.5,6.0,7.0,6.5,0.0,6.0,6.0,5.5,0.0,6.5,4.5,6.0,0.0,5.0,0.0,5.5
SANCHEZ,10.0,6.0,6.5,6.5,6.0,6.0,6.0,5.5,0.0,6.0,5.5,0.0,0.0,0.0,0.0,4.0,6.0,6.0,6.0,6.0,5.0,3.5,0.0,5.0,5.5,5.5,6.0,5.5,6.5,5.0,5.5,4.5,5.0,4.5,6.0,0.0,0.0,5.5
MARCOS ALONSO,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
CHIESA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.5,0.0,7.5,0.0,7.0,6.5,6.5,10.0,10.0,5.5,6.0,8.0,6.0,5.0,6.0,5.5,0.0,6.0,6.0,0.0,6.0,9.0,5.0,0.0,3.0,5.5
TELLO C,6.0,6.0,6.0,7.0,6.0,0.0,6.5,9.5,6.0,6.5,5.5,6.0,5.0,6.0,6.0,5.5,0.0,13.5,0.0,9.5,0.0,5.5,0.0,6.0,5.0,6.0,7.5,5.5,6.0,6.5,9.5,5.5,5.0,6.0,6.5,7.0,5.5,6.0
ILICIC,8.5,6.0,5.5,0.0,2.0,5.0,0.0,7.0,6.0,6.5,6.5,13.5,10.0,5.5,6.0,2.0,0.0,5.0,5.5,0.0,10.0,5.5,0.0,5.5,0.0,6.5,5.5,6.5,5.5,5.0,6.0,6.5,6.0,0.0,0.0,9.5,0.0,6.5
ROSSI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KALINIC,6.5,6.0,5.0,5.5,5.5,5.0,5.0,18.5,5.5,9.5,5.0,6.5,10.0,5.5,13.0,5.0,4.5,0.0,10.0,0.0,10.0,0.0,6.0,9.5,9.5,6.0,10.0,10.0,5.5,6.5,3.5,0.0,0.0,1.5,10.5,5.0,0.0,9.0
PAULO SOUSA,6.5,5.0,6.5,5.5,6.0,5.5,5.0,7.5,5.5,6.5,6.0,7.0,6.5,6.0,6.5,6.0,6.5,6.5,7.5,7.0,6.0,4.0,7.0,5.5,5.5,6.0,6.0,6.5,6.0,6.5,5.0,7.5,4.5,6.0,7.0,5.0,6.0,5.5
LAMANNA,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.5,4.5,2.0,5.5,4.5,0.0,4.0,7.5,5.0,5.0,0.0,0.0,8.0,1.5,4.0,11.5,4.0,5.0,3.5,5.0
IZZO,7.0,7.0,5.0,6.5,6.5,6.5,6.5,4.0,5.5,0.0,6.0,5.0,7.0,6.5,5.0,7.0,5.5,4.0,5.0,6.0,4.5,4.5,0.0,5.0,5.5,6.5,6.0,6.5,4.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
BURDISSO,6.5,6.0,5.5,6.5,6.5,6.0,6.5,5.0,6.5,5.0,6.0,6.0,6.5,6.5,5.5,4.5,5.0,6.0,4.5,6.0,4.5,6.0,4.5,4.0,5.5,6.5,5.5,0.0,3.5,5.0,4.5,4.0,5.5,5.5,0.0,6.5,0.0,5.0
GENTILETTI,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,6.0,0.0,0.0,0.0,0.0,4.5,5.0,0.0,6.5,5.0,5.0,6.5,5.5,6.5,5.5,5.5
LAZOVIC,6.5,9.5,6.0,6.5,0.0,6.0,4.0,0.0,6.5,5.5,6.5,0.0,8.0,6.0,6.5,5.5,6.5,6.0,6.0,5.5,6.0,0.0,5.5,5.0,6.5,5.5,6.0,6.0,4.5,0.0,7.5,5.0,5.5,6.0,5.5,6.5,11.5,7.5
FIAMOZZI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RINCON,6.5,6.0,5.0,5.5,5.5,5.5,6.5,6.0,8.0,5.5,6.0,4.5,6.5,5.5,5.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,0.0,0.0,7.0
MIGUEL VELOSO,7.5,6.0,3.5,0.0,0.0,6.0,5.5,6.5,6.0,5.5,5.5,5.5,0.0,5.0,4.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.5,6.0,6.5,5.0,7.5,6.5,6.0
LAXALT,5.0,6.5,6.0,6.0,6.0,8.0,6.5,6.0,7.0,4.5,6.5,6.5,7.5,0.0,5.0,5.5,6.0,5.5,5.0,6.0,4.5,6.0,6.0,5.0,6.0,6.0,6.0,5.5,5.0,6.5,6.0,6.0,7.0,0.0,5.5,6.0,7.0,10.0
PANDEV,0.0,0.0,5.5,0.0,4.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.5,0.0,0.0,6.5,6.5,6.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,5.5,9.0,0.0,9.5,10.0,5.0,6.0,0.0,6.0
NTCHAM,7.5,0.0,0.0,6.0,5.0,6.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,10.5,10.0,4.5,5.0,5.0,5.0,6.5,5.0,0.0,0.0,0.0,0.0,5.5,10.0
