,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37
SPORTIELLO,3.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.5,3.0,6.0,5.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
RAIMONDI,4.0,5.5,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,4.5
TOLOI,0.0,5.5,4.5,5.0,6.0,6.5,7.0,6.0,0.0,0.0,0.0,4.5,0.0,5.0,5.5,5.5,6.0,6.0,0.0,0.0,6.0,6.5,6.0,6.5,7.0,7.0,3.0,6.5,6.5,6.5,6.5,5.5,6.5,5.0,5.5,6.5,7.0,4.5
ZUKANOVIC,6.0,6.5,5.0,0.0,6.5,0.0,0.0,0.0,6.5,6.5,6.5,6.5,6.0,0.0,0.0,6.0,6.5,6.5,5.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
PETAGNA,5.5,0.0,0.0,0.0,10.0,10.0,7.0,6.0,0.0,8.0,6.5,6.5,6.0,5.0,6.0,5.0,5.5,8.0,9.5,6.5,9.5,8.0,6.5,8.0,5.5,6.0,5.5,6.5,8.0,5.0,6.0,8.0,0.0,6.0,6.5,6.0,6.0,9.5
CONTI,5.5,0.0,5.5,0.0,5.0,6.0,7.0,6.5,5.5,6.0,10.0,0.0,7.0,5.0,5.0,5.5,6.0,10.0,5.0,6.5,5.5,7.0,9.5,9.5,7.5,6.0,5.0,0.0,10.5,6.5,8.0,9.5,9.5,0.0,9.5,5.0,6.0,7.0
KURTIC,5.5,6.0,5.0,6.5,10.0,6.0,6.0,7.0,6.5,13.5,6.5,5.0,10.0,5.0,10.0,5.5,4.5,6.0,5.5,5.5,6.0,6.0,6.0,6.0,6.0,5.5,4.5,0.0,8.0,5.0,9.5,5.5,5.5,5.0,6.0,6.0,6.0,6.0
GAGLIARDINI,0.0,0.0,5.5,0.0,0.0,5.5,5.5,0.0,-0.5,8.0,7.5,7.0,5.5,0.0,6.0,7.0,6.5,0.0,6.5,6.0,6.5,5.5,6.5,6.5,5.0,10.0,9.5,6.0,5.5,0.0,6.0,4.5,5.5,5.0,5.5,6.0,6.5,0.0
KESSIE',9.5,10.0,5.5,5.0,4.5,0.0,6.5,6.5,6.0,0.0,7.0,10.5,5.5,5.5,6.0,5.5,10.0,0.0,0.0,0.0,6.5,6.0,6.0,6.5,3.5,0.0,5.0,8.0,6.5,0.0,6.5,6.0,5.5,0.0,7.0,6.0,6.0,13.5
DRAME',0.0,0.0,0.0,5.5,6.0,5.0,5.0,6.5,6.0,0.0,0.0,0.0,0.0,0.0,6.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
D'ALESSANDRO,6.0,6.5,6.0,5.5,0.0,0.0,0.0,0.0,6.0,6.5,0.0,6.5,0.0,7.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,6.0,0.0,0.0,6.0,6.0,6.0,0.0,6.0,0.0,0.0,0.0,6.5
SPINAZZOLA,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.5,7.0,5.5,6.5,6.0,6.5,5.5,6.5,8.0,5.5,7.0,6.0,6.0,8.0,6.5,8.5,6.5,4.5,6.0,8.0,6.5,0.0,7.0,2.5,5.5,6.5,6.0,6.5,5.5
PALOSCHI,5.5,6.0,1.5,5.5,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,5.0
GOMEZ A,6.0,7.0,6.0,6.0,10.5,7.0,6.5,6.5,6.0,10.0,10.5,7.0,9.0,5.5,6.5,5.5,7.5,13.5,6.5,10.5,6.0,13.5,11.5,6.5,6.5,6.5,6.0,15.0,17.5,7.5,0.0,8.0,7.0,7.5,6.5,10.0,10.0,5.5
GASPERINI,5.5,5.5,4.5,5.0,7.0,7.0,6.5,6.0,0.0,8.0,8.0,7.5,7.0,6.0,5.5,6.5,7.0,7.5,5.0,0.0,0.0,7.0,7.0,6.5,7.5,6.0,3.0,7.0,8.0,6.0,7.0,7.0,7.0,6.0,6.0,6.5,7.0,5.5
MIRANTE,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.5,7.0,7.0,0.0,2.5,7.5,7.0,5.0,-1.0,0.0,0.0,6.0,4.5,8.0,0.0,6.0,3.5,6.5,0.0,7.0,3.5,5.5,2.5,0.0,7.0
KRAFTH,5.5,6.0,3.5,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,5.5,6.0,4.0,0.0,6.5,7.0,4.0,0.0,0.0,5.0,6.0,5.0,6.0,5.5,0.0,5.0,0.0,6.0,6.0,5.5,6.5,5.5,6.5,6.5
GASTALDELLO,4.5,7.0,5.0,7.0,5.5,3.5,0.0,0.0,6.0,3.5,0.0,5.0,5.0,0.0,6.0,7.0,5.5,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.0,6.0,6.0,4.0,6.5,4.5,0.0,5.0,5.5,6.5
MAIETTA,0.0,0.0,0.0,6.5,6.0,5.5,6.5,5.0,6.0,0.0,0.0,6.5,5.0,6.5,6.0,6.0,5.0,5.5,6.5,6.0,5.5,2.5,5.0,0.0,0.0,4.5,6.5,7.0,5.0,5.0,6.5,6.0,7.0,5.0,5.5,0.0,0.0,6.0
OIKONOMOU,4.5,6.5,5.5,0.0,6.5,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.5,6.5,6.5,6.0,3.0,5.0,5.5,5.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
MASINA,5.0,6.0,0.0,6.0,0.0,6.0,5.0,6.0,5.5,5.0,4.5,6.5,4.5,6.0,6.5,10.0,0.0,5.5,6.0,6.5,5.5,3.5,6.0,6.0,6.0,5.0,5.5,0.0,0.0,5.0,5.0,5.0,0.0,6.0,0.0,0.0,5.5,6.5
TAIDER,9.0,6.5,4.5,6.5,6.5,5.5,6.0,6.5,0.0,6.0,5.5,6.0,5.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,5.0,0.0,6.0,6.0,10.0,5.0,6.0,5.0,10.0,6.5
PULGAR,4.0,0.0,0.0,0.0,5.5,0.0,5.5,5.5,10.0,5.0,5.5,0.0,0.0,3.5,0.0,0.0,6.0,6.0,0.0,6.0,6.5,3.0,5.5,5.5,0.0,6.0,6.0,5.5,0.0,5.5,3.0,0.0,0.0,5.5,6.0,0.0,5.5,6.0
NAGY,5.5,6.0,6.0,6.0,5.5,6.5,6.5,6.0,5.5,0.0,5.0,6.0,0.0,0.0,6.5,5.5,5.5,0.0,5.5,6.5,5.0,4.0,0.0,6.0,0.0,5.5,0.0,6.0,5.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
DZEMAILI,6.0,5.0,5.5,6.5,5.5,4.0,0.0,6.0,6.0,5.0,6.0,9.5,5.5,5.5,5.5,10.5,5.5,5.5,10.0,13.0,0.0,4.0,9.0,6.5,6.0,5.0,7.5,13.5,5.5,5.5,5.5,7.0,0.0,0.0,0.0,0.0,0.0,6.5
VERDI,5.5,10.0,9.5,10.0,8.0,5.5,6.5,10.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,6.5,6.5,5.0,7.5,6.0,5.0,5.0,6.0,11.5,5.5,6.5,6.0,0.0,7.0,9.5,6.0,5.0,0.0,6.5
RIZZO,5.0,0.0,6.0,0.0,0.0,5.5,0.0,0.0,0.0,6.0,0.0,6.5,5.5,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0
DESTRO,5.0,6.0,0.0,10.0,9.5,6.0,0.0,0.0,0.0,0.0,5.5,10.0,5.0,5.0,5.0,6.0,4.5,5.0,5.5,5.0,10.0,1.0,6.0,0.0,0.0,5.5,9.0,5.0,4.5,5.0,0.0,9.5,13.5,5.0,13.0,5.0,5.5,10.0
KREJCI,5.5,8.0,5.5,9.5,5.5,5.5,0.0,5.5,6.0,6.5,6.0,5.5,5.0,6.0,6.5,9.5,6.5,5.5,6.5,7.5,7.5,5.5,5.5,6.0,5.0,5.5,0.0,7.0,5.5,5.0,0.0,5.0,8.0,4.5,5.5,5.0,6.0,6.0
DONADONI,5.0,7.0,6.0,7.0,6.5,6.0,6.5,6.5,6.0,6.0,5.0,7.0,5.0,5.0,5.5,6.5,5.0,5.5,6.5,7.0,6.0,3.0,5.5,6.0,6.0,5.0,7.0,7.5,5.5,5.0,6.5,6.5,7.0,5.0,7.0,5.5,6.0,6.0
SORRENTINO,5.0,5.0,5.0,4.5,4.0,7.0,3.5,7.0,5.0,5.0,5.0,7.0,4.0,7.5,7.5,5.0,4.0,2.5,4.0,3.5,8.5,7.5,5.5,2.5,7.0,3.0,7.5,1.5,0.0,0.0,0.0,3.5,5.0,5.5,4.0,0.5,0.0,8.0
CACCIATORE,5.5,6.0,10.0,6.0,5.5,0.0,4.5,6.5,6.5,5.5,5.5,6.0,3.5,0.0,0.0,6.0,0.0,0.0,0.0,5.5,5.5,0.0,6.5,4.5,6.5,5.0,8.0,5.5,6.0,5.0,5.5,0.0,0.0,6.0,6.0,4.5,5.0,7.0
DAINELLI,5.0,6.0,5.5,0.0,4.5,6.0,2.5,6.0,6.5,0.0,5.0,0.0,5.0,6.5,7.0,7.0,5.0,4.0,5.5,4.5,6.0,0.0,5.5,0.0,6.5,6.0,0.0,0.0,6.0,0.0,4.5,5.5,6.0,0.0,0.0,0.0,0.0,6.5
